,name,qid,measure,value
336,TerrierRetr(BM25),test-economy-beghwbh-con04a,R@10,1.0
337,TerrierRetr(BM25),test-economy-beghwbh-con04a,R@100,1.0
338,TerrierRetr(BM25),test-economy-beghwbh-con04a,RR@10,0.5
330,TerrierRetr(BM25),test-economy-beghwbh-pro02a,R@10,1.0
331,TerrierRetr(BM25),test-economy-beghwbh-pro02a,R@100,1.0
332,TerrierRetr(BM25),test-economy-beghwbh-pro02a,RR@10,0.1111111111111111
333,TerrierRetr(BM25),test-economy-beghwbh-pro03a,R@10,1.0
334,TerrierRetr(BM25),test-economy-beghwbh-pro03a,R@100,1.0
335,TerrierRetr(BM25),test-economy-beghwbh-pro03a,RR@10,0.2
348,TerrierRetr(BM25),test-economy-bepahbtsnrt-con01a,R@10,1.0
349,TerrierRetr(BM25),test-economy-bepahbtsnrt-con01a,R@100,1.0
350,TerrierRetr(BM25),test-economy-bepahbtsnrt-con01a,RR@10,0.2
342,TerrierRetr(BM25),test-economy-bepahbtsnrt-con02a,R@10,1.0
343,TerrierRetr(BM25),test-economy-bepahbtsnrt-con02a,R@100,1.0
344,TerrierRetr(BM25),test-economy-bepahbtsnrt-con02a,RR@10,0.5
345,TerrierRetr(BM25),test-economy-bepahbtsnrt-con03a,R@10,1.0
346,TerrierRetr(BM25),test-economy-bepahbtsnrt-con03a,R@100,1.0
347,TerrierRetr(BM25),test-economy-bepahbtsnrt-con03a,RR@10,0.5
339,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro02a,R@10,1.0
340,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro02a,R@100,1.0
341,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro02a,RR@10,0.2
285,TerrierRetr(BM25),test-economy-bepiehbesa-con02a,R@10,1.0
286,TerrierRetr(BM25),test-economy-bepiehbesa-con02a,R@100,1.0
287,TerrierRetr(BM25),test-economy-bepiehbesa-con02a,RR@10,0.2
288,TerrierRetr(BM25),test-economy-bepiehbesa-con03a,R@10,1.0
289,TerrierRetr(BM25),test-economy-bepiehbesa-con03a,R@100,1.0
290,TerrierRetr(BM25),test-economy-bepiehbesa-con03a,RR@10,0.25
282,TerrierRetr(BM25),test-economy-bepiehbesa-pro02a,R@10,1.0
283,TerrierRetr(BM25),test-economy-bepiehbesa-pro02a,R@100,1.0
284,TerrierRetr(BM25),test-economy-bepiehbesa-pro02a,RR@10,0.125
252,TerrierRetr(BM25),test-economy-beplcpdffe-con01a,R@10,0.0
253,TerrierRetr(BM25),test-economy-beplcpdffe-con01a,R@100,1.0
254,TerrierRetr(BM25),test-economy-beplcpdffe-con01a,RR@10,0.0
240,TerrierRetr(BM25),test-economy-beplcpdffe-con02a,R@10,1.0
