,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.0031397174254317113
1,TerrierRetr(BM25),1,R@100,0.03139717425431711
2,TerrierRetr(BM25),1,RR@10,0.2
27,TerrierRetr(BM25),10,R@10,0.004210526315789474
28,TerrierRetr(BM25),10,R@100,0.07368421052631578
29,TerrierRetr(BM25),10,RR@10,1.0
30,TerrierRetr(BM25),11,R@10,0.0
31,TerrierRetr(BM25),11,R@100,0.0
32,TerrierRetr(BM25),11,RR@10,0.0
33,TerrierRetr(BM25),12,R@10,0.0
34,TerrierRetr(BM25),12,R@100,0.0
35,TerrierRetr(BM25),12,RR@10,0.0
36,TerrierRetr(BM25),13,R@10,0.0
37,TerrierRetr(BM25),13,R@100,0.0
38,TerrierRetr(BM25),13,RR@10,0.0
39,TerrierRetr(BM25),14,R@10,0.0
40,TerrierRetr(BM25),14,R@100,0.0
41,TerrierRetr(BM25),14,RR@10,0.0
42,TerrierRetr(BM25),15,R@10,0.0
43,TerrierRetr(BM25),15,R@100,0.009456264775413711
44,TerrierRetr(BM25),15,RR@10,0.0
45,TerrierRetr(BM25),16,R@10,0.012919896640826873
46,TerrierRetr(BM25),16,R@100,0.05167958656330749
47,TerrierRetr(BM25),16,RR@10,1.0
48,TerrierRetr(BM25),17,R@10,0.0
49,TerrierRetr(BM25),17,R@100,0.041916167664670656
50,TerrierRetr(BM25),17,RR@10,0.0
51,TerrierRetr(BM25),18,R@10,0.012738853503184714
52,TerrierRetr(BM25),18,R@100,0.10987261146496816
53,TerrierRetr(BM25),18,RR@10,0.5
54,TerrierRetr(BM25),19,R@10,0.009009009009009009
55,TerrierRetr(BM25),19,R@100,0.18018018018018017
56,TerrierRetr(BM25),19,RR@10,0.1111111111111111
3,TerrierRetr(BM25),2,R@10,0.006369426751592357
4,TerrierRetr(BM25),2,R@100,0.006369426751592357
5,TerrierRetr(BM25),2,RR@10,0.14285714285714285
57,TerrierRetr(BM25),20,R@10,0.007122507122507123
58,TerrierRetr(BM25),20,R@100,0.07692307692307693
59,TerrierRetr(BM25),20,RR@10,0.3333333333333333
60,TerrierRetr(BM25),21,R@10,0.006349206349206349
61,TerrierRetr(BM25),21,R@100,0.05396825396825397
62,TerrierRetr(BM25),21,RR@10,1.0
63,TerrierRetr(BM25),22,R@10,0.005494505494505495
64,TerrierRetr(BM25),22,R@100,0.054945054945054944
65,TerrierRetr(BM25),22,RR@10,0.5
66,TerrierRetr(BM25),23,R@10,0.0
67,TerrierRetr(BM25),23,R@100,0.0
68,TerrierRetr(BM25),23,RR@10,0.0
69,TerrierRetr(BM25),24,R@10,0.0
70,TerrierRetr(BM25),24,R@100,0.0
71,TerrierRetr(BM25),24,RR@10,0.0
135,TerrierRetr(BM25),25,R@10,0.0
136,TerrierRetr(BM25),25,R@100,0.0
137,TerrierRetr(BM25),25,RR@10,0.0
72,TerrierRetr(BM25),26,R@10,0.002570694087403599
73,TerrierRetr(BM25),26,R@100,0.014138817480719794
74,TerrierRetr(BM25),26,RR@10,0.16666666666666666
138,TerrierRetr(BM25),27,R@10,0.0
139,TerrierRetr(BM25),27,R@100,0.0
140,TerrierRetr(BM25),27,RR@10,0.0
75,TerrierRetr(BM25),28,R@10,0.0
76,TerrierRetr(BM25),28,R@100,0.0
77,TerrierRetr(BM25),28,RR@10,0.0
78,TerrierRetr(BM25),29,R@10,0.0016556291390728477
79,TerrierRetr(BM25),29,R@100,0.04470198675496689
80,TerrierRetr(BM25),29,RR@10,0.1
6,TerrierRetr(BM25),3,R@10,0.0
7,TerrierRetr(BM25),3,R@100,0.0031847133757961785
8,TerrierRetr(BM25),3,RR@10,0.0
141,TerrierRetr(BM25),30,R@10,0.0
142,TerrierRetr(BM25),30,R@100,0.0
