,name,qid,measure,value
297,TerrierRetr(BM25),test-economy-beghwbh-con01a,R@10,1.0
298,TerrierRetr(BM25),test-economy-beghwbh-con01a,R@100,1.0
299,TerrierRetr(BM25),test-economy-beghwbh-con01a,RR@10,0.3333333333333333
294,TerrierRetr(BM25),test-economy-beghwbh-con03a,R@10,1.0
295,TerrierRetr(BM25),test-economy-beghwbh-con03a,R@100,1.0
296,TerrierRetr(BM25),test-economy-beghwbh-con03a,RR@10,0.5
291,TerrierRetr(BM25),test-economy-beghwbh-pro01a,R@10,0.0
292,TerrierRetr(BM25),test-economy-beghwbh-pro01a,R@100,1.0
293,TerrierRetr(BM25),test-economy-beghwbh-pro01a,RR@10,0.0
300,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro01a,R@10,1.0
301,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro01a,R@100,1.0
302,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro01a,RR@10,0.5
303,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro03a,R@10,1.0
304,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro03a,R@100,1.0
305,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro03a,RR@10,0.125
306,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro04a,R@10,1.0
307,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro04a,R@100,1.0
308,TerrierRetr(BM25),test-economy-bepahbtsnrt-pro04a,RR@10,0.5
264,TerrierRetr(BM25),test-economy-bepiehbesa-con01a,R@10,1.0
265,TerrierRetr(BM25),test-economy-bepiehbesa-con01a,R@100,1.0
266,TerrierRetr(BM25),test-economy-bepiehbesa-con01a,RR@10,0.3333333333333333
255,TerrierRetr(BM25),test-economy-bepiehbesa-pro01a,R@10,1.0
256,TerrierRetr(BM25),test-economy-bepiehbesa-pro01a,R@100,1.0
257,TerrierRetr(BM25),test-economy-bepiehbesa-pro01a,RR@10,0.2
258,TerrierRetr(BM25),test-economy-bepiehbesa-pro03a,R@10,1.0
259,TerrierRetr(BM25),test-economy-bepiehbesa-pro03a,R@100,1.0
260,TerrierRetr(BM25),test-economy-bepiehbesa-pro03a,RR@10,0.5
261,TerrierRetr(BM25),test-economy-bepiehbesa-pro04a,R@10,1.0
262,TerrierRetr(BM25),test-economy-bepiehbesa-pro04a,R@100,1.0
263,TerrierRetr(BM25),test-economy-bepiehbesa-pro04a,RR@10,0.25
327,TerrierRetr(BM25),test-economy-bepighbdb-con01a,R@10,1.0
328,TerrierRetr(BM25),test-economy-bepighbdb-con01a,R@100,1.0
329,TerrierRetr(BM25),test-economy-bepighbdb-con01a,RR@10,0.3333333333333333
324,TerrierRetr(BM25),test-economy-bepighbdb-con03a,R@10,1.0
325,TerrierRetr(BM25),test-economy-bepighbdb-con03a,R@100,1.0
326,TerrierRetr(BM25),test-economy-bepighbdb-con03a,RR@10,0.25
252,TerrierRetr(BM25),test-economy-bhahwbsps-con01a,R@10,1.0
253,TerrierRetr(BM25),test-economy-bhahwbsps-con01a,R@100,1.0
254,TerrierRetr(BM25),test-economy-bhahwbsps-con01a,RR@10,0.5
249,TerrierRetr(BM25),test-economy-bhahwbsps-con02a,R@10,1.0
250,TerrierRetr(BM25),test-economy-bhahwbsps-con02a,R@100,1.0
251,TerrierRetr(BM25),test-economy-bhahwbsps-con02a,RR@10,0.3333333333333333
246,TerrierRetr(BM25),test-economy-bhahwbsps-pro01a,R@10,1.0
247,TerrierRetr(BM25),test-economy-bhahwbsps-pro01a,R@100,1.0
248,TerrierRetr(BM25),test-economy-bhahwbsps-pro01a,RR@10,0.5
243,TerrierRetr(BM25),test-economy-bhahwbsps-pro02a,R@10,0.0
244,TerrierRetr(BM25),test-economy-bhahwbsps-pro02a,R@100,1.0
245,TerrierRetr(BM25),test-economy-bhahwbsps-pro02a,RR@10,0.0
204,TerrierRetr(BM25),test-economy-egecegphw-con02a,R@10,1.0
205,TerrierRetr(BM25),test-economy-egecegphw-con02a,R@100,1.0
206,TerrierRetr(BM25),test-economy-egecegphw-con02a,RR@10,0.3333333333333333
201,TerrierRetr(BM25),test-economy-egecegphw-pro03a,R@10,1.0
202,TerrierRetr(BM25),test-economy-egecegphw-pro03a,R@100,1.0
203,TerrierRetr(BM25),test-economy-egecegphw-pro03a,RR@10,0.5
240,TerrierRetr(BM25),test-economy-egiahbwaka-con02a,R@10,0.0
241,TerrierRetr(BM25),test-economy-egiahbwaka-con02a,R@100,0.0
242,TerrierRetr(BM25),test-economy-egiahbwaka-con02a,RR@10,0.0
237,TerrierRetr(BM25),test-economy-egiahbwaka-pro03a,R@10,1.0
238,TerrierRetr(BM25),test-economy-egiahbwaka-pro03a,R@100,1.0
239,TerrierRetr(BM25),test-economy-egiahbwaka-pro03a,RR@10,0.2
234,TerrierRetr(BM25),test-economy-epegiahsc-con01a,R@10,1.0
235,TerrierRetr(BM25),test-economy-epegiahsc-con01a,R@100,1.0
236,TerrierRetr(BM25),test-economy-epegiahsc-con01a,RR@10,0.125
231,TerrierRetr(BM25),test-economy-epegiahsc-con04a,R@10,0.0
232,TerrierRetr(BM25),test-economy-epegiahsc-con04a,R@100,1.0
233,TerrierRetr(BM25),test-economy-epegiahsc-con04a,RR@10,0.0
225,TerrierRetr(BM25),test-economy-epegiahsc-pro01a,R@10,0.0
226,TerrierRetr(BM25),test-economy-epegiahsc-pro01a,R@100,1.0
227,TerrierRetr(BM25),test-economy-epegiahsc-pro01a,RR@10,0.0
222,TerrierRetr(BM25),test-economy-epegiahsc-pro02a,R@10,1.0
223,TerrierRetr(BM25),test-economy-epegiahsc-pro02a,R@100,1.0
224,TerrierRetr(BM25),test-economy-epegiahsc-pro02a,RR@10,0.3333333333333333
228,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,R@10,1.0
229,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,R@100,1.0
230,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,RR@10,0.1111111111111111
285,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,R@10,0.0
286,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,R@100,1.0
287,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,RR@10,0.0
288,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,R@10,1.0
289,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,R@100,1.0
290,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,RR@10,0.5
279,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,R@10,0.0
280,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,R@100,1.0
281,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,RR@10,0.0
282,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,R@10,1.0
283,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,R@100,1.0
284,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,RR@10,0.5
219,TerrierRetr(BM25),test-economy-epiasghbf-con02a,R@10,1.0
220,TerrierRetr(BM25),test-economy-epiasghbf-con02a,R@100,1.0
221,TerrierRetr(BM25),test-economy-epiasghbf-con02a,RR@10,0.125
216,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,R@10,0.0
217,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,R@100,1.0
218,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,RR@10,0.0
213,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,R@10,0.0
214,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,R@100,1.0
215,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,RR@10,0.0
321,TerrierRetr(BM25),test-economy-epsihbdns-con01a,R@10,1.0
322,TerrierRetr(BM25),test-economy-epsihbdns-con01a,R@100,1.0
323,TerrierRetr(BM25),test-economy-epsihbdns-con01a,RR@10,0.5
312,TerrierRetr(BM25),test-economy-epsihbdns-con02a,R@10,1.0
313,TerrierRetr(BM25),test-economy-epsihbdns-con02a,R@100,1.0
314,TerrierRetr(BM25),test-economy-epsihbdns-con02a,RR@10,0.1111111111111111
318,TerrierRetr(BM25),test-economy-epsihbdns-con03a,R@10,0.0
319,TerrierRetr(BM25),test-economy-epsihbdns-con03a,R@100,1.0
320,TerrierRetr(BM25),test-economy-epsihbdns-con03a,RR@10,0.0
315,TerrierRetr(BM25),test-economy-epsihbdns-con04a,R@10,1.0
316,TerrierRetr(BM25),test-economy-epsihbdns-con04a,R@100,1.0
317,TerrierRetr(BM25),test-economy-epsihbdns-con04a,RR@10,0.14285714285714285
309,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,R@10,0.0
310,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,R@100,0.0
311,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,RR@10,0.0
276,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,R@10,0.0
277,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,R@100,1.0
278,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,RR@10,0.0
273,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,R@10,1.0
274,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,R@100,1.0
275,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,RR@10,0.5
270,TerrierRetr(BM25),test-economy-thhghwhwift-con03a,R@10,0.0
