,name,qid,measure,value
270,TerrierRetr(BM25),1006922,R@10,0.0
271,TerrierRetr(BM25),1006922,R@100,0.0
272,TerrierRetr(BM25),1006922,RR@10,0.0
408,TerrierRetr(BM25),1007473,R@10,1.0
409,TerrierRetr(BM25),1007473,R@100,1.0
410,TerrierRetr(BM25),1007473,RR@10,0.25
216,TerrierRetr(BM25),10276,R@10,0.0
217,TerrierRetr(BM25),10276,R@100,0.0
218,TerrierRetr(BM25),10276,RR@10,0.0
75,TerrierRetr(BM25),1038859,R@10,0.0
76,TerrierRetr(BM25),1038859,R@100,1.0
77,TerrierRetr(BM25),1038859,RR@10,0.0
6,TerrierRetr(BM25),1048917,R@10,0.0
7,TerrierRetr(BM25),1048917,R@100,0.0
8,TerrierRetr(BM25),1048917,RR@10,0.0
12,TerrierRetr(BM25),1049221,R@10,0.0
13,TerrierRetr(BM25),1049221,R@100,0.0
14,TerrierRetr(BM25),1049221,RR@10,0.0
18,TerrierRetr(BM25),1049456,R@10,0.0
19,TerrierRetr(BM25),1049456,R@100,0.0
20,TerrierRetr(BM25),1049456,RR@10,0.0
21,TerrierRetr(BM25),1049774,R@10,0.0
22,TerrierRetr(BM25),1049774,R@100,0.0
23,TerrierRetr(BM25),1049774,RR@10,0.0
30,TerrierRetr(BM25),1050253,R@10,0.0
31,TerrierRetr(BM25),1050253,R@100,0.0
32,TerrierRetr(BM25),1050253,RR@10,0.0
42,TerrierRetr(BM25),1050923,R@10,0.0
43,TerrierRetr(BM25),1050923,R@100,0.0
44,TerrierRetr(BM25),1050923,RR@10,0.0
48,TerrierRetr(BM25),1051108,R@10,0.0
49,TerrierRetr(BM25),1051108,R@100,1.0
50,TerrierRetr(BM25),1051108,RR@10,0.0
54,TerrierRetr(BM25),1051285,R@10,0.0
55,TerrierRetr(BM25),1051285,R@100,0.0
56,TerrierRetr(BM25),1051285,RR@10,0.0
57,TerrierRetr(BM25),1051307,R@10,0.0
58,TerrierRetr(BM25),1051307,R@100,1.0
59,TerrierRetr(BM25),1051307,RR@10,0.0
60,TerrierRetr(BM25),1051352,R@10,0.0
61,TerrierRetr(BM25),1051352,R@100,1.0
62,TerrierRetr(BM25),1051352,RR@10,0.0
63,TerrierRetr(BM25),1051475,R@10,0.0
64,TerrierRetr(BM25),1051475,R@100,0.5
65,TerrierRetr(BM25),1051475,RR@10,0.0
69,TerrierRetr(BM25),1051571,R@10,0.0
70,TerrierRetr(BM25),1051571,R@100,0.0
71,TerrierRetr(BM25),1051571,RR@10,0.0
81,TerrierRetr(BM25),1052948,R@10,1.0
82,TerrierRetr(BM25),1052948,R@100,1.0
83,TerrierRetr(BM25),1052948,RR@10,0.25
87,TerrierRetr(BM25),1053253,R@10,0.0
88,TerrierRetr(BM25),1053253,R@100,0.0
89,TerrierRetr(BM25),1053253,RR@10,0.0
99,TerrierRetr(BM25),1053992,R@10,0.0
100,TerrierRetr(BM25),1053992,R@100,1.0
101,TerrierRetr(BM25),1053992,RR@10,0.0
114,TerrierRetr(BM25),1054186,R@10,0.0
115,TerrierRetr(BM25),1054186,R@100,0.0
116,TerrierRetr(BM25),1054186,RR@10,0.0
120,TerrierRetr(BM25),1054451,R@10,0.0
121,TerrierRetr(BM25),1054451,R@100,1.0
122,TerrierRetr(BM25),1054451,RR@10,0.0
132,TerrierRetr(BM25),1054958,R@10,1.0
133,TerrierRetr(BM25),1054958,R@100,1.0
134,TerrierRetr(BM25),1054958,RR@10,1.0
135,TerrierRetr(BM25),1054969,R@10,1.0
136,TerrierRetr(BM25),1054969,R@100,1.0
137,TerrierRetr(BM25),1054969,RR@10,0.16666666666666666
141,TerrierRetr(BM25),1055717,R@10,0.0
142,TerrierRetr(BM25),1055717,R@100,0.0
143,TerrierRetr(BM25),1055717,RR@10,0.0
150,TerrierRetr(BM25),1056303,R@10,0.0
151,TerrierRetr(BM25),1056303,R@100,0.0
152,TerrierRetr(BM25),1056303,RR@10,0.0
156,TerrierRetr(BM25),1056482,R@10,0.0
157,TerrierRetr(BM25),1056482,R@100,0.0
158,TerrierRetr(BM25),1056482,RR@10,0.0
165,TerrierRetr(BM25),1056644,R@10,1.0
166,TerrierRetr(BM25),1056644,R@100,1.0
167,TerrierRetr(BM25),1056644,RR@10,1.0
171,TerrierRetr(BM25),1056950,R@10,1.0
172,TerrierRetr(BM25),1056950,R@100,1.0
173,TerrierRetr(BM25),1056950,RR@10,0.16666666666666666
177,TerrierRetr(BM25),1057015,R@10,0.0
178,TerrierRetr(BM25),1057015,R@100,1.0
179,TerrierRetr(BM25),1057015,RR@10,0.0
180,TerrierRetr(BM25),1057251,R@10,0.0
181,TerrierRetr(BM25),1057251,R@100,1.0
182,TerrierRetr(BM25),1057251,RR@10,0.0
192,TerrierRetr(BM25),1057539,R@10,1.0
193,TerrierRetr(BM25),1057539,R@100,1.0
194,TerrierRetr(BM25),1057539,RR@10,0.3333333333333333
207,TerrierRetr(BM25),1058036,R@10,0.0
208,TerrierRetr(BM25),1058036,R@100,0.0
209,TerrierRetr(BM25),1058036,RR@10,0.0
219,TerrierRetr(BM25),1058885,R@10,0.0
220,TerrierRetr(BM25),1058885,R@100,0.0
221,TerrierRetr(BM25),1058885,RR@10,0.0
225,TerrierRetr(BM25),1059045,R@10,0.0
226,TerrierRetr(BM25),1059045,R@100,0.0
227,TerrierRetr(BM25),1059045,RR@10,0.0
264,TerrierRetr(BM25),1060566,R@10,1.0
265,TerrierRetr(BM25),1060566,R@100,1.0
266,TerrierRetr(BM25),1060566,RR@10,1.0
267,TerrierRetr(BM25),1060616,R@10,0.0
268,TerrierRetr(BM25),1060616,R@100,1.0
269,TerrierRetr(BM25),1060616,RR@10,0.0
276,TerrierRetr(BM25),1060868,R@10,0.0
277,TerrierRetr(BM25),1060868,R@100,0.0
278,TerrierRetr(BM25),1060868,RR@10,0.0
279,TerrierRetr(BM25),1060881,R@10,0.0
280,TerrierRetr(BM25),1060881,R@100,0.0
281,TerrierRetr(BM25),1060881,RR@10,0.0
291,TerrierRetr(BM25),1061210,R@10,0.0
292,TerrierRetr(BM25),1061210,R@100,1.0
293,TerrierRetr(BM25),1061210,RR@10,0.0
330,TerrierRetr(BM25),1062350,R@10,0.0
331,TerrierRetr(BM25),1062350,R@100,0.0
332,TerrierRetr(BM25),1062350,RR@10,0.0
336,TerrierRetr(BM25),1062457,R@10,0.0
337,TerrierRetr(BM25),1062457,R@100,1.0
338,TerrierRetr(BM25),1062457,RR@10,0.0
339,TerrierRetr(BM25),1062511,R@10,1.0
340,TerrierRetr(BM25),1062511,R@100,1.0
341,TerrierRetr(BM25),1062511,RR@10,0.16666666666666666
345,TerrierRetr(BM25),1062603,R@10,1.0
346,TerrierRetr(BM25),1062603,R@100,1.0
347,TerrierRetr(BM25),1062603,RR@10,0.3333333333333333
369,TerrierRetr(BM25),1062961,R@10,0.0
370,TerrierRetr(BM25),1062961,R@100,1.0
371,TerrierRetr(BM25),1062961,RR@10,0.0
378,TerrierRetr(BM25),1063371,R@10,0.0
379,TerrierRetr(BM25),1063371,R@100,1.0
380,TerrierRetr(BM25),1063371,RR@10,0.0
387,TerrierRetr(BM25),1063659,R@10,0.0
388,TerrierRetr(BM25),1063659,R@100,0.0
389,TerrierRetr(BM25),1063659,RR@10,0.0
390,TerrierRetr(BM25),1063892,R@10,1.0
391,TerrierRetr(BM25),1063892,R@100,1.0
392,TerrierRetr(BM25),1063892,RR@10,0.3333333333333333
438,TerrierRetr(BM25),1064852,R@10,0.0
439,TerrierRetr(BM25),1064852,R@100,0.0
440,TerrierRetr(BM25),1064852,RR@10,0.0
