,name,qid,measure,value
381,TerrierRetr(BM25),1004258,R@10,0.0
382,TerrierRetr(BM25),1004258,R@100,0.0
383,TerrierRetr(BM25),1004258,RR@10,0.0
144,TerrierRetr(BM25),1005595,R@10,0.0
145,TerrierRetr(BM25),1005595,R@100,0.0
146,TerrierRetr(BM25),1005595,RR@10,0.0
480,TerrierRetr(BM25),1019649,R@10,0.0
481,TerrierRetr(BM25),1019649,R@100,0.0
482,TerrierRetr(BM25),1019649,RR@10,0.0
0,TerrierRetr(BM25),1048585,R@10,1.0
1,TerrierRetr(BM25),1048585,R@100,1.0
2,TerrierRetr(BM25),1048585,RR@10,1.0
6,TerrierRetr(BM25),1048876,R@10,1.0
7,TerrierRetr(BM25),1048876,R@100,1.0
8,TerrierRetr(BM25),1048876,RR@10,0.5
9,TerrierRetr(BM25),1048995,R@10,0.0
10,TerrierRetr(BM25),1048995,R@100,0.0
11,TerrierRetr(BM25),1048995,RR@10,0.0
24,TerrierRetr(BM25),1049085,R@10,0.0
25,TerrierRetr(BM25),1049085,R@100,0.0
26,TerrierRetr(BM25),1049085,RR@10,0.0
33,TerrierRetr(BM25),1049894,R@10,0.0
34,TerrierRetr(BM25),1049894,R@100,0.0
35,TerrierRetr(BM25),1049894,RR@10,0.0
36,TerrierRetr(BM25),1050007,R@10,0.0
37,TerrierRetr(BM25),1050007,R@100,1.0
38,TerrierRetr(BM25),1050007,RR@10,0.0
48,TerrierRetr(BM25),1050231,R@10,0.0
49,TerrierRetr(BM25),1050231,R@100,1.0
50,TerrierRetr(BM25),1050231,RR@10,0.0
60,TerrierRetr(BM25),1050670,R@10,0.0
61,TerrierRetr(BM25),1050670,R@100,0.0
62,TerrierRetr(BM25),1050670,RR@10,0.0
66,TerrierRetr(BM25),1050747,R@10,0.0
67,TerrierRetr(BM25),1050747,R@100,1.0
68,TerrierRetr(BM25),1050747,RR@10,0.0
69,TerrierRetr(BM25),1050778,R@10,0.0
70,TerrierRetr(BM25),1050778,R@100,0.0
71,TerrierRetr(BM25),1050778,RR@10,0.0
72,TerrierRetr(BM25),1050857,R@10,0.0
73,TerrierRetr(BM25),1050857,R@100,1.0
74,TerrierRetr(BM25),1050857,RR@10,0.0
84,TerrierRetr(BM25),1051095,R@10,1.0
