,name,qid,measure,value
339,TerrierRetr(BM25),10205,R@10,0.0
340,TerrierRetr(BM25),10205,R@100,0.0
341,TerrierRetr(BM25),10205,RR@10,0.0
345,TerrierRetr(BM25),10312,R@10,0.0
346,TerrierRetr(BM25),10312,R@100,0.0
347,TerrierRetr(BM25),10312,RR@10,0.0
3,TerrierRetr(BM25),1048642,R@10,1.0
4,TerrierRetr(BM25),1048642,R@100,1.0
5,TerrierRetr(BM25),1048642,RR@10,1.0
24,TerrierRetr(BM25),1049200,R@10,0.0
25,TerrierRetr(BM25),1049200,R@100,0.0
26,TerrierRetr(BM25),1049200,RR@10,0.0
27,TerrierRetr(BM25),1049329,R@10,1.0
28,TerrierRetr(BM25),1049329,R@100,1.0
29,TerrierRetr(BM25),1049329,RR@10,1.0
30,TerrierRetr(BM25),1049368,R@10,0.0
31,TerrierRetr(BM25),1049368,R@100,1.0
32,TerrierRetr(BM25),1049368,RR@10,0.0
33,TerrierRetr(BM25),1049791,R@10,1.0
34,TerrierRetr(BM25),1049791,R@100,1.0
35,TerrierRetr(BM25),1049791,RR@10,0.2
39,TerrierRetr(BM25),1049955,R@10,0.0
40,TerrierRetr(BM25),1049955,R@100,0.0
41,TerrierRetr(BM25),1049955,RR@10,0.0
48,TerrierRetr(BM25),1050275,R@10,1.0
49,TerrierRetr(BM25),1050275,R@100,1.0
50,TerrierRetr(BM25),1050275,RR@10,1.0
57,TerrierRetr(BM25),1050695,R@10,0.0
58,TerrierRetr(BM25),1050695,R@100,1.0
59,TerrierRetr(BM25),1050695,RR@10,0.0
66,TerrierRetr(BM25),1051112,R@10,0.0
67,TerrierRetr(BM25),1051112,R@100,1.0
68,TerrierRetr(BM25),1051112,RR@10,0.0
72,TerrierRetr(BM25),1051214,R@10,0.0
73,TerrierRetr(BM25),1051214,R@100,0.0
74,TerrierRetr(BM25),1051214,RR@10,0.0
75,TerrierRetr(BM25),1051223,R@10,1.0
76,TerrierRetr(BM25),1051223,R@100,1.0
77,TerrierRetr(BM25),1051223,RR@10,0.14285714285714285
78,TerrierRetr(BM25),1051229,R@10,1.0
79,TerrierRetr(BM25),1051229,R@100,1.0
80,TerrierRetr(BM25),1051229,RR@10,0.2
81,TerrierRetr(BM25),1051257,R@10,0.0
82,TerrierRetr(BM25),1051257,R@100,1.0
83,TerrierRetr(BM25),1051257,RR@10,0.0
84,TerrierRetr(BM25),1051279,R@10,1.0
85,TerrierRetr(BM25),1051279,R@100,1.0
86,TerrierRetr(BM25),1051279,RR@10,0.2
87,TerrierRetr(BM25),1051339,R@10,0.0
88,TerrierRetr(BM25),1051339,R@100,1.0
89,TerrierRetr(BM25),1051339,RR@10,0.0
90,TerrierRetr(BM25),1051372,R@10,1.0
91,TerrierRetr(BM25),1051372,R@100,1.0
92,TerrierRetr(BM25),1051372,RR@10,0.25
93,TerrierRetr(BM25),1051422,R@10,0.0
94,TerrierRetr(BM25),1051422,R@100,0.0
