,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.0031397174254317113
1,TerrierRetr(BM25),1,R@100,0.03139717425431711
2,TerrierRetr(BM25),1,RR@10,0.2
27,TerrierRetr(BM25),10,R@10,0.010526315789473684
28,TerrierRetr(BM25),10,R@100,0.10526315789473684
29,TerrierRetr(BM25),10,RR@10,1.0
30,TerrierRetr(BM25),11,R@10,0.0
31,TerrierRetr(BM25),11,R@100,0.012048192771084338
32,TerrierRetr(BM25),11,RR@10,0.0
33,TerrierRetr(BM25),12,R@10,0.008116883116883116
34,TerrierRetr(BM25),12,R@100,0.06168831168831169
35,TerrierRetr(BM25),12,RR@10,1.0
36,TerrierRetr(BM25),13,R@10,0.008073817762399077
37,TerrierRetr(BM25),13,R@100,0.06228373702422145
38,TerrierRetr(BM25),13,RR@10,1.0
39,TerrierRetr(BM25),14,R@10,0.023529411764705882
40,TerrierRetr(BM25),14,R@100,0.09803921568627451
41,TerrierRetr(BM25),14,RR@10,1.0
42,TerrierRetr(BM25),15,R@10,0.0
43,TerrierRetr(BM25),15,R@100,0.002364066193853428
44,TerrierRetr(BM25),15,RR@10,0.0
45,TerrierRetr(BM25),16,R@10,0.01808785529715762
46,TerrierRetr(BM25),16,R@100,0.07235142118863049
47,TerrierRetr(BM25),16,RR@10,1.0
48,TerrierRetr(BM25),17,R@10,0.008982035928143712
49,TerrierRetr(BM25),17,R@100,0.10479041916167664
50,TerrierRetr(BM25),17,RR@10,1.0
51,TerrierRetr(BM25),18,R@10,0.012738853503184714
52,TerrierRetr(BM25),18,R@100,0.10987261146496816
53,TerrierRetr(BM25),18,RR@10,0.5
54,TerrierRetr(BM25),19,R@10,0.06306306306306306
55,TerrierRetr(BM25),19,R@100,0.21621621621621623
56,TerrierRetr(BM25),19,RR@10,1.0
3,TerrierRetr(BM25),2,R@10,0.009554140127388535
4,TerrierRetr(BM25),2,R@100,0.1464968152866242
5,TerrierRetr(BM25),2,RR@10,0.3333333333333333
57,TerrierRetr(BM25),20,R@10,0.011396011396011397
58,TerrierRetr(BM25),20,R@100,0.08262108262108261
59,TerrierRetr(BM25),20,RR@10,1.0
60,TerrierRetr(BM25),21,R@10,0.012698412698412698
61,TerrierRetr(BM25),21,R@100,0.06190476190476191
62,TerrierRetr(BM25),21,RR@10,1.0
63,TerrierRetr(BM25),22,R@10,0.005494505494505495
64,TerrierRetr(BM25),22,R@100,0.0347985347985348
65,TerrierRetr(BM25),22,RR@10,0.16666666666666666
66,TerrierRetr(BM25),23,R@10,0.026954177897574125
67,TerrierRetr(BM25),23,R@100,0.15902964959568733
68,TerrierRetr(BM25),23,RR@10,1.0
69,TerrierRetr(BM25),24,R@10,0.022277227722772276
70,TerrierRetr(BM25),24,R@100,0.19554455445544555
71,TerrierRetr(BM25),24,RR@10,1.0
72,TerrierRetr(BM25),25,R@10,0.001890359168241966
73,TerrierRetr(BM25),25,R@100,0.024574669187145556
74,TerrierRetr(BM25),25,RR@10,1.0
75,TerrierRetr(BM25),26,R@10,0.002570694087403599
76,TerrierRetr(BM25),26,R@100,0.014138817480719794
77,TerrierRetr(BM25),26,RR@10,0.16666666666666666
78,TerrierRetr(BM25),27,R@10,0.011778563015312132
79,TerrierRetr(BM25),27,R@100,0.09305064782096584
80,TerrierRetr(BM25),27,RR@10,1.0
81,TerrierRetr(BM25),28,R@10,0.014519056261343012
82,TerrierRetr(BM25),28,R@100,0.132486388384755
83,TerrierRetr(BM25),28,RR@10,1.0
84,TerrierRetr(BM25),29,R@10,0.009933774834437087
85,TerrierRetr(BM25),29,R@100,0.06291390728476821
86,TerrierRetr(BM25),29,RR@10,1.0
6,TerrierRetr(BM25),3,R@10,0.0031847133757961785
7,TerrierRetr(BM25),3,R@100,0.050955414012738856
