,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.012558869701726845
1,TerrierRetr(BM25),1,R@100,0.07378335949764521
2,TerrierRetr(BM25),1,RR@10,1.0
27,TerrierRetr(BM25),10,R@10,0.010526315789473684
28,TerrierRetr(BM25),10,R@100,0.10526315789473684
29,TerrierRetr(BM25),10,RR@10,1.0
30,TerrierRetr(BM25),11,R@10,0.0
31,TerrierRetr(BM25),11,R@100,0.012048192771084338
32,TerrierRetr(BM25),11,RR@10,0.0
33,TerrierRetr(BM25),12,R@10,0.008116883116883116
34,TerrierRetr(BM25),12,R@100,0.06168831168831169
35,TerrierRetr(BM25),12,RR@10,1.0
36,TerrierRetr(BM25),13,R@10,0.00461361014994233
37,TerrierRetr(BM25),13,R@100,0.02191464821222607
38,TerrierRetr(BM25),13,RR@10,1.0
39,TerrierRetr(BM25),14,R@10,0.023529411764705882
40,TerrierRetr(BM25),14,R@100,0.16862745098039217
41,TerrierRetr(BM25),14,RR@10,1.0
42,TerrierRetr(BM25),15,R@10,0.0070921985815602835
43,TerrierRetr(BM25),15,R@100,0.02127659574468085
44,TerrierRetr(BM25),15,RR@10,0.5
45,TerrierRetr(BM25),16,R@10,0.01808785529715762
46,TerrierRetr(BM25),16,R@100,0.07235142118863049
47,TerrierRetr(BM25),16,RR@10,1.0
48,TerrierRetr(BM25),17,R@10,0.008982035928143712
49,TerrierRetr(BM25),17,R@100,0.10479041916167664
50,TerrierRetr(BM25),17,RR@10,1.0
51,TerrierRetr(BM25),18,R@10,0.011146496815286623
52,TerrierRetr(BM25),18,R@100,0.10828025477707007
53,TerrierRetr(BM25),18,RR@10,0.3333333333333333
54,TerrierRetr(BM25),19,R@10,0.009009009009009009
55,TerrierRetr(BM25),19,R@100,0.16216216216216217
56,TerrierRetr(BM25),19,RR@10,1.0
3,TerrierRetr(BM25),2,R@10,0.009554140127388535
4,TerrierRetr(BM25),2,R@100,0.1464968152866242
5,TerrierRetr(BM25),2,RR@10,0.3333333333333333
57,TerrierRetr(BM25),20,R@10,0.009971509971509971
58,TerrierRetr(BM25),20,R@100,0.08262108262108261
59,TerrierRetr(BM25),20,RR@10,1.0
60,TerrierRetr(BM25),21,R@10,0.012698412698412698
61,TerrierRetr(BM25),21,R@100,0.06190476190476191
62,TerrierRetr(BM25),21,RR@10,1.0
63,TerrierRetr(BM25),22,R@10,0.005494505494505495
64,TerrierRetr(BM25),22,R@100,0.054945054945054944
65,TerrierRetr(BM25),22,RR@10,0.5
66,TerrierRetr(BM25),23,R@10,0.026954177897574125
67,TerrierRetr(BM25),23,R@100,0.15902964959568733
68,TerrierRetr(BM25),23,RR@10,1.0
69,TerrierRetr(BM25),24,R@10,0.0
70,TerrierRetr(BM25),24,R@100,0.0
71,TerrierRetr(BM25),24,RR@10,0.0
72,TerrierRetr(BM25),25,R@10,0.001890359168241966
73,TerrierRetr(BM25),25,R@100,0.022684310018903593
74,TerrierRetr(BM25),25,RR@10,0.25
75,TerrierRetr(BM25),26,R@10,0.008997429305912597
76,TerrierRetr(BM25),26,R@100,0.04884318766066838
77,TerrierRetr(BM25),26,RR@10,1.0
78,TerrierRetr(BM25),27,R@10,0.011778563015312132
79,TerrierRetr(BM25),27,R@100,0.09305064782096584
80,TerrierRetr(BM25),27,RR@10,1.0
81,TerrierRetr(BM25),28,R@10,0.0018148820326678765
82,TerrierRetr(BM25),28,R@100,0.08892921960072596
83,TerrierRetr(BM25),28,RR@10,0.3333333333333333
84,TerrierRetr(BM25),29,R@10,0.009933774834437087
85,TerrierRetr(BM25),29,R@100,0.06291390728476821
86,TerrierRetr(BM25),29,RR@10,1.0
6,TerrierRetr(BM25),3,R@10,0.0031847133757961785
7,TerrierRetr(BM25),3,R@100,0.050955414012738856
8,TerrierRetr(BM25),3,RR@10,1.0
141,TerrierRetr(BM25),30,R@10,0.0
142,TerrierRetr(BM25),30,R@100,0.0
143,TerrierRetr(BM25),30,RR@10,0.0
87,TerrierRetr(BM25),31,R@10,0.0
88,TerrierRetr(BM25),31,R@100,0.0
89,TerrierRetr(BM25),31,RR@10,0.0
90,TerrierRetr(BM25),32,R@10,0.004629629629629629
91,TerrierRetr(BM25),32,R@100,0.023148148148148147
92,TerrierRetr(BM25),32,RR@10,0.25
144,TerrierRetr(BM25),33,R@10,0.0
145,TerrierRetr(BM25),33,R@100,0.0
146,TerrierRetr(BM25),33,RR@10,0.0
93,TerrierRetr(BM25),34,R@10,0.0
94,TerrierRetr(BM25),34,R@100,0.005813953488372093
95,TerrierRetr(BM25),34,RR@10,0.0
96,TerrierRetr(BM25),35,R@10,0.01834862385321101
97,TerrierRetr(BM25),35,R@100,0.15137614678899083
98,TerrierRetr(BM25),35,RR@10,1.0
99,TerrierRetr(BM25),36,R@10,0.009819967266775777
100,TerrierRetr(BM25),36,R@100,0.11129296235679215
101,TerrierRetr(BM25),36,RR@10,0.5
102,TerrierRetr(BM25),37,R@10,0.015555555555555555
103,TerrierRetr(BM25),37,R@100,0.17777777777777778
104,TerrierRetr(BM25),37,RR@10,1.0
105,TerrierRetr(BM25),38,R@10,0.00315955766192733
106,TerrierRetr(BM25),38,R@100,0.026066350710900472
107,TerrierRetr(BM25),38,RR@10,0.16666666666666666
108,TerrierRetr(BM25),39,R@10,0.011627906976744186
109,TerrierRetr(BM25),39,R@100,0.10697674418604651
110,TerrierRetr(BM25),39,RR@10,1.0
9,TerrierRetr(BM25),4,R@10,0.003780718336483932
10,TerrierRetr(BM25),4,R@100,0.003780718336483932
11,TerrierRetr(BM25),4,RR@10,0.14285714285714285
111,TerrierRetr(BM25),40,R@10,0.012589928057553957
112,TerrierRetr(BM25),40,R@100,0.10071942446043165
113,TerrierRetr(BM25),40,RR@10,1.0
114,TerrierRetr(BM25),41,R@10,0.03215434083601286
115,TerrierRetr(BM25),41,R@100,0.17041800643086816
116,TerrierRetr(BM25),41,RR@10,1.0
117,TerrierRetr(BM25),42,R@10,0.0
118,TerrierRetr(BM25),42,R@100,0.00823045267489712
119,TerrierRetr(BM25),42,RR@10,0.0
147,TerrierRetr(BM25),43,R@10,0.0
148,TerrierRetr(BM25),43,R@100,0.0
149,TerrierRetr(BM25),43,RR@10,0.0
120,TerrierRetr(BM25),44,R@10,0.0
121,TerrierRetr(BM25),44,R@100,0.004140786749482402
122,TerrierRetr(BM25),44,RR@10,0.0
123,TerrierRetr(BM25),45,R@10,0.011166253101736972
124,TerrierRetr(BM25),45,R@100,0.08064516129032258
125,TerrierRetr(BM25),45,RR@10,1.0
126,TerrierRetr(BM25),46,R@10,0.038461538461538464
127,TerrierRetr(BM25),46,R@100,0.18681318681318682
128,TerrierRetr(BM25),46,RR@10,0.3333333333333333
129,TerrierRetr(BM25),47,R@10,0.01904761904761905
130,TerrierRetr(BM25),47,R@100,0.18333333333333332
131,TerrierRetr(BM25),47,RR@10,1.0
132,TerrierRetr(BM25),48,R@10,0.015765765765765764
133,TerrierRetr(BM25),48,R@100,0.09009009009009009
134,TerrierRetr(BM25),48,RR@10,0.5
135,TerrierRetr(BM25),49,R@10,0.0
136,TerrierRetr(BM25),49,R@100,0.004048582995951417
137,TerrierRetr(BM25),49,RR@10,0.0
12,TerrierRetr(BM25),5,R@10,0.003257328990228013
13,TerrierRetr(BM25),5,R@100,0.006514657980456026
14,TerrierRetr(BM25),5,RR@10,0.14285714285714285
138,TerrierRetr(BM25),50,R@10,0.029197080291970802
139,TerrierRetr(BM25),50,R@100,0.10218978102189781
140,TerrierRetr(BM25),50,RR@10,1.0
15,TerrierRetr(BM25),6,R@10,0.0
16,TerrierRetr(BM25),6,R@100,0.013555787278415016
17,TerrierRetr(BM25),6,RR@10,0.1
18,TerrierRetr(BM25),7,R@10,0.02079002079002079
19,TerrierRetr(BM25),7,R@100,0.11850311850311851
20,TerrierRetr(BM25),7,RR@10,1.0
21,TerrierRetr(BM25),8,R@10,0.0
22,TerrierRetr(BM25),8,R@100,0.007911392405063292
23,TerrierRetr(BM25),8,RR@10,0.0
24,TerrierRetr(BM25),9,R@10,0.02617801047120419
25,TerrierRetr(BM25),9,R@100,0.13612565445026178
26,TerrierRetr(BM25),9,RR@10,1.0
