,name,qid,measure,value
12,TerrierRetr(BM25),10,R@10,0.002105263157894737
13,TerrierRetr(BM25),10,R@100,0.042105263157894736
14,TerrierRetr(BM25),10,RR@10,1.0
15,TerrierRetr(BM25),11,R@10,0.0024096385542168677
16,TerrierRetr(BM25),11,R@100,0.00963855421686747
17,TerrierRetr(BM25),11,RR@10,0.16666666666666666
18,TerrierRetr(BM25),16,R@10,0.015503875968992248
19,TerrierRetr(BM25),16,R@100,0.082687338501292
20,TerrierRetr(BM25),16,RR@10,1.0
21,TerrierRetr(BM25),19,R@10,0.05405405405405406
22,TerrierRetr(BM25),19,R@100,0.21621621621621623
23,TerrierRetr(BM25),19,RR@10,1.0
0,TerrierRetr(BM25),2,R@10,0.0
1,TerrierRetr(BM25),2,R@100,0.09554140127388536
2,TerrierRetr(BM25),2,RR@10,0.0
24,TerrierRetr(BM25),20,R@10,0.008547008547008548
25,TerrierRetr(BM25),20,R@100,0.09116809116809117
26,TerrierRetr(BM25),20,RR@10,0.5
27,TerrierRetr(BM25),28,R@10,0.010889292196007259
28,TerrierRetr(BM25),28,R@100,0.07441016333938294
29,TerrierRetr(BM25),28,RR@10,0.5
30,TerrierRetr(BM25),31,R@10,0.0
31,TerrierRetr(BM25),31,R@100,0.036827195467422094
32,TerrierRetr(BM25),31,RR@10,0.0
33,TerrierRetr(BM25),33,R@10,0.010676156583629894
34,TerrierRetr(BM25),33,R@100,0.03914590747330961
35,TerrierRetr(BM25),33,RR@10,0.14285714285714285
36,TerrierRetr(BM25),37,R@10,0.0044444444444444444
37,TerrierRetr(BM25),37,R@100,0.06222222222222222
38,TerrierRetr(BM25),37,RR@10,0.1111111111111111
3,TerrierRetr(BM25),4,R@10,0.0
4,TerrierRetr(BM25),4,R@100,0.017013232514177693
5,TerrierRetr(BM25),4,RR@10,0.0
39,TerrierRetr(BM25),44,R@10,0.010351966873706004
40,TerrierRetr(BM25),44,R@100,0.08488612836438923
41,TerrierRetr(BM25),44,RR@10,0.25
42,TerrierRetr(BM25),45,R@10,0.009925558312655087
43,TerrierRetr(BM25),45,R@100,0.10421836228287841
44,TerrierRetr(BM25),45,RR@10,0.3333333333333333
45,TerrierRetr(BM25),49,R@10,0.0
46,TerrierRetr(BM25),49,R@100,0.004048582995951417
47,TerrierRetr(BM25),49,RR@10,0.0
6,TerrierRetr(BM25),6,R@10,0.0072992700729927005
7,TerrierRetr(BM25),6,R@100,0.049009384775808136
8,TerrierRetr(BM25),6,RR@10,1.0
9,TerrierRetr(BM25),7,R@10,0.016632016632016633
10,TerrierRetr(BM25),7,R@100,0.14760914760914762
11,TerrierRetr(BM25),7,RR@10,1.0
