,name,qid,measure,value
12,TerrierRetr(BM25),10,R@10,0.010526315789473684
13,TerrierRetr(BM25),10,R@100,0.10526315789473684
14,TerrierRetr(BM25),10,RR@10,1.0
15,TerrierRetr(BM25),11,R@10,0.0024096385542168677
16,TerrierRetr(BM25),11,R@100,0.016867469879518072
17,TerrierRetr(BM25),11,RR@10,0.14285714285714285
18,TerrierRetr(BM25),16,R@10,0.01808785529715762
19,TerrierRetr(BM25),16,R@100,0.10077519379844961
20,TerrierRetr(BM25),16,RR@10,1.0
21,TerrierRetr(BM25),19,R@10,0.06306306306306306
22,TerrierRetr(BM25),19,R@100,0.21621621621621623
23,TerrierRetr(BM25),19,RR@10,1.0
0,TerrierRetr(BM25),2,R@10,0.009554140127388535
1,TerrierRetr(BM25),2,R@100,0.1464968152866242
2,TerrierRetr(BM25),2,RR@10,0.3333333333333333
24,TerrierRetr(BM25),20,R@10,0.009971509971509971
25,TerrierRetr(BM25),20,R@100,0.08262108262108261
26,TerrierRetr(BM25),20,RR@10,1.0
27,TerrierRetr(BM25),28,R@10,0.014519056261343012
28,TerrierRetr(BM25),28,R@100,0.1397459165154265
29,TerrierRetr(BM25),28,RR@10,1.0
30,TerrierRetr(BM25),31,R@10,0.0028328611898017
31,TerrierRetr(BM25),31,R@100,0.031161473087818695
32,TerrierRetr(BM25),31,RR@10,0.1111111111111111
33,TerrierRetr(BM25),33,R@10,0.010676156583629894
34,TerrierRetr(BM25),33,R@100,0.12811387900355872
35,TerrierRetr(BM25),33,RR@10,0.2
36,TerrierRetr(BM25),37,R@10,0.015555555555555555
37,TerrierRetr(BM25),37,R@100,0.17777777777777778
38,TerrierRetr(BM25),37,RR@10,1.0
3,TerrierRetr(BM25),4,R@10,0.001890359168241966
4,TerrierRetr(BM25),4,R@100,0.017013232514177693
5,TerrierRetr(BM25),4,RR@10,0.3333333333333333
39,TerrierRetr(BM25),44,R@10,0.020703933747412008
40,TerrierRetr(BM25),44,R@100,0.16356107660455488
41,TerrierRetr(BM25),44,RR@10,1.0
42,TerrierRetr(BM25),45,R@10,0.008684863523573201
43,TerrierRetr(BM25),45,R@100,0.08933002481389578
44,TerrierRetr(BM25),45,RR@10,0.5
45,TerrierRetr(BM25),49,R@10,0.016194331983805668
46,TerrierRetr(BM25),49,R@100,0.07692307692307693
47,TerrierRetr(BM25),49,RR@10,0.5
6,TerrierRetr(BM25),6,R@10,0.010427528675703858
7,TerrierRetr(BM25),6,R@100,0.0667361835245047
8,TerrierRetr(BM25),6,RR@10,1.0
9,TerrierRetr(BM25),7,R@10,0.02079002079002079
10,TerrierRetr(BM25),7,R@100,0.11850311850311851
11,TerrierRetr(BM25),7,RR@10,1.0
