,name,qid,measure,value
12,TerrierRetr(BM25),10,R@10,0.004210526315789474
13,TerrierRetr(BM25),10,R@100,0.056842105263157895
14,TerrierRetr(BM25),10,RR@10,0.2
15,TerrierRetr(BM25),11,R@10,0.0024096385542168677
16,TerrierRetr(BM25),11,R@100,0.004819277108433735
17,TerrierRetr(BM25),11,RR@10,0.125
18,TerrierRetr(BM25),16,R@10,0.01808785529715762
19,TerrierRetr(BM25),16,R@100,0.12403100775193798
20,TerrierRetr(BM25),16,RR@10,1.0
21,TerrierRetr(BM25),19,R@10,0.05405405405405406
22,TerrierRetr(BM25),19,R@100,0.27927927927927926
23,TerrierRetr(BM25),19,RR@10,1.0
0,TerrierRetr(BM25),2,R@10,0.025477707006369428
1,TerrierRetr(BM25),2,R@100,0.22929936305732485
2,TerrierRetr(BM25),2,RR@10,1.0
24,TerrierRetr(BM25),20,R@10,0.0
25,TerrierRetr(BM25),20,R@100,0.02849002849002849
26,TerrierRetr(BM25),20,RR@10,0.0
27,TerrierRetr(BM25),28,R@10,0.014519056261343012
28,TerrierRetr(BM25),28,R@100,0.07622504537205081
29,TerrierRetr(BM25),28,RR@10,1.0
30,TerrierRetr(BM25),31,R@10,0.0084985835694051
31,TerrierRetr(BM25),31,R@100,0.031161473087818695
32,TerrierRetr(BM25),31,RR@10,0.5
33,TerrierRetr(BM25),33,R@10,0.0071174377224199285
34,TerrierRetr(BM25),33,R@100,0.0498220640569395
35,TerrierRetr(BM25),33,RR@10,0.5
36,TerrierRetr(BM25),37,R@10,0.008888888888888889
37,TerrierRetr(BM25),37,R@100,0.10666666666666667
38,TerrierRetr(BM25),37,RR@10,0.5
3,TerrierRetr(BM25),4,R@10,0.003780718336483932
4,TerrierRetr(BM25),4,R@100,0.030245746691871456
5,TerrierRetr(BM25),4,RR@10,1.0
39,TerrierRetr(BM25),44,R@10,0.020703933747412008
40,TerrierRetr(BM25),44,R@100,0.17805383022774326
41,TerrierRetr(BM25),44,RR@10,1.0
42,TerrierRetr(BM25),45,R@10,0.008684863523573201
43,TerrierRetr(BM25),45,R@100,0.09553349875930521
44,TerrierRetr(BM25),45,RR@10,1.0
45,TerrierRetr(BM25),49,R@10,0.004048582995951417
46,TerrierRetr(BM25),49,R@100,0.05668016194331984
47,TerrierRetr(BM25),49,RR@10,0.14285714285714285
6,TerrierRetr(BM25),6,R@10,0.004171011470281543
7,TerrierRetr(BM25),6,R@100,0.04275286757038582
8,TerrierRetr(BM25),6,RR@10,1.0
9,TerrierRetr(BM25),7,R@10,0.016632016632016633
10,TerrierRetr(BM25),7,R@100,0.14137214137214138
11,TerrierRetr(BM25),7,RR@10,1.0
