,name,qid,measure,value
12,TerrierRetr(BM25),10,R@10,0.010526315789473684
13,TerrierRetr(BM25),10,R@100,0.10526315789473684
14,TerrierRetr(BM25),10,RR@10,1.0
15,TerrierRetr(BM25),11,R@10,0.0024096385542168677
16,TerrierRetr(BM25),11,R@100,0.016867469879518072
17,TerrierRetr(BM25),11,RR@10,0.14285714285714285
18,TerrierRetr(BM25),16,R@10,0.01808785529715762
19,TerrierRetr(BM25),16,R@100,0.08785529715762273
20,TerrierRetr(BM25),16,RR@10,1.0
21,TerrierRetr(BM25),19,R@10,0.05405405405405406
22,TerrierRetr(BM25),19,R@100,0.23423423423423423
23,TerrierRetr(BM25),19,RR@10,0.5
0,TerrierRetr(BM25),2,R@10,0.012738853503184714
1,TerrierRetr(BM25),2,R@100,0.15605095541401273
2,TerrierRetr(BM25),2,RR@10,0.2
24,TerrierRetr(BM25),20,R@10,0.009971509971509971
25,TerrierRetr(BM25),20,R@100,0.08262108262108261
26,TerrierRetr(BM25),20,RR@10,1.0
27,TerrierRetr(BM25),28,R@10,0.014519056261343012
28,TerrierRetr(BM25),28,R@100,0.1397459165154265
29,TerrierRetr(BM25),28,RR@10,1.0
30,TerrierRetr(BM25),31,R@10,0.0028328611898017
31,TerrierRetr(BM25),31,R@100,0.031161473087818695
32,TerrierRetr(BM25),31,RR@10,0.1111111111111111
33,TerrierRetr(BM25),33,R@10,0.010676156583629894
34,TerrierRetr(BM25),33,R@100,0.12811387900355872
35,TerrierRetr(BM25),33,RR@10,0.2
36,TerrierRetr(BM25),37,R@10,0.015555555555555555
37,TerrierRetr(BM25),37,R@100,0.17777777777777778
38,TerrierRetr(BM25),37,RR@10,1.0
3,TerrierRetr(BM25),4,R@10,0.005671077504725898
4,TerrierRetr(BM25),4,R@100,0.03213610586011342
5,TerrierRetr(BM25),4,RR@10,0.16666666666666666
39,TerrierRetr(BM25),44,R@10,0.020703933747412008
40,TerrierRetr(BM25),44,R@100,0.16356107660455488
41,TerrierRetr(BM25),44,RR@10,1.0
42,TerrierRetr(BM25),45,R@10,0.008684863523573201
43,TerrierRetr(BM25),45,R@100,0.08933002481389578
44,TerrierRetr(BM25),45,RR@10,0.5
45,TerrierRetr(BM25),49,R@10,0.020242914979757085
46,TerrierRetr(BM25),49,R@100,0.0728744939271255
47,TerrierRetr(BM25),49,RR@10,0.25
6,TerrierRetr(BM25),6,R@10,0.010427528675703858
7,TerrierRetr(BM25),6,R@100,0.0667361835245047
8,TerrierRetr(BM25),6,RR@10,1.0
9,TerrierRetr(BM25),7,R@10,0.02079002079002079
10,TerrierRetr(BM25),7,R@100,0.11850311850311851
11,TerrierRetr(BM25),7,RR@10,1.0
