,name,qid,measure,value
6,TerrierRetr(BM25),13,R@10,0.0
7,TerrierRetr(BM25),13,R@100,0.0
8,TerrierRetr(BM25),13,RR@10,0.0
9,TerrierRetr(BM25),14,R@10,0.0196078431372549
10,TerrierRetr(BM25),14,R@100,0.10588235294117647
11,TerrierRetr(BM25),14,RR@10,1.0
12,TerrierRetr(BM25),17,R@10,0.0014970059880239522
13,TerrierRetr(BM25),17,R@100,0.0029940119760479044
14,TerrierRetr(BM25),17,RR@10,0.16666666666666666
15,TerrierRetr(BM25),18,R@10,0.011146496815286623
16,TerrierRetr(BM25),18,R@100,0.10031847133757962
17,TerrierRetr(BM25),18,RR@10,0.5
18,TerrierRetr(BM25),22,R@10,0.005494505494505495
19,TerrierRetr(BM25),22,R@100,0.10622710622710622
20,TerrierRetr(BM25),22,RR@10,1.0
21,TerrierRetr(BM25),26,R@10,0.0038560411311053984
22,TerrierRetr(BM25),26,R@100,0.04627249357326478
23,TerrierRetr(BM25),26,RR@10,0.25
24,TerrierRetr(BM25),29,R@10,0.0033112582781456954
25,TerrierRetr(BM25),29,R@100,0.03642384105960265
26,TerrierRetr(BM25),29,RR@10,0.5
27,TerrierRetr(BM25),35,R@10,0.0
28,TerrierRetr(BM25),35,R@100,0.009174311926605505
29,TerrierRetr(BM25),35,RR@10,0.0
30,TerrierRetr(BM25),36,R@10,0.009819967266775777
31,TerrierRetr(BM25),36,R@100,0.07528641571194762
32,TerrierRetr(BM25),36,RR@10,0.3333333333333333
33,TerrierRetr(BM25),38,R@10,0.005529225908372828
34,TerrierRetr(BM25),38,R@100,0.05845181674565561
35,TerrierRetr(BM25),38,RR@10,1.0
36,TerrierRetr(BM25),41,R@10,0.022508038585209004
37,TerrierRetr(BM25),41,R@100,0.20257234726688103
38,TerrierRetr(BM25),41,RR@10,1.0
39,TerrierRetr(BM25),46,R@10,0.03296703296703297
40,TerrierRetr(BM25),46,R@100,0.1978021978021978
41,TerrierRetr(BM25),46,RR@10,1.0
42,TerrierRetr(BM25),47,R@10,0.007142857142857143
43,TerrierRetr(BM25),47,R@100,0.09761904761904762
44,TerrierRetr(BM25),47,RR@10,1.0
45,TerrierRetr(BM25),48,R@10,0.02252252252252252
46,TerrierRetr(BM25),48,R@100,0.13963963963963963
47,TerrierRetr(BM25),48,RR@10,1.0
0,TerrierRetr(BM25),5,R@10,0.003257328990228013
1,TerrierRetr(BM25),5,R@100,0.029315960912052116
2,TerrierRetr(BM25),5,RR@10,0.5
3,TerrierRetr(BM25),8,R@10,0.0
4,TerrierRetr(BM25),8,R@100,0.0015822784810126582
5,TerrierRetr(BM25),8,RR@10,0.0
