,name,qid,measure,value
6,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),13,R@10,0.0034602076124567475
7,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),13,R@100,0.02306805074971165
8,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),13,RR@10,0.3333333333333333
9,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),14,R@10,0.011764705882352941
10,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),14,R@100,0.01568627450980392
11,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),14,RR@10,1.0
12,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),17,R@10,0.011976047904191617
13,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),17,R@100,0.0688622754491018
14,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),17,RR@10,1.0
15,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),18,R@10,0.011146496815286623
16,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),18,R@100,0.10191082802547771
17,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),18,RR@10,0.3333333333333333
18,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),22,R@10,0.018315018315018316
19,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),22,R@100,0.10073260073260074
20,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),22,RR@10,1.0
21,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),26,R@10,0.0038560411311053984
22,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),26,R@100,0.042416452442159386
23,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),26,RR@10,0.25
24,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),29,R@10,0.004966887417218543
25,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),29,R@100,0.04470198675496689
26,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),29,RR@10,0.3333333333333333
27,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),35,R@10,0.03211009174311927
28,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),35,R@100,0.09174311926605505
29,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),35,RR@10,1.0
30,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),36,R@10,0.016366612111292964
31,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),36,R@100,0.12111292962356793
32,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),36,RR@10,1.0
33,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),38,R@10,0.00631911532385466
34,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),38,R@100,0.061611374407582936
35,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),38,RR@10,1.0
36,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),41,R@10,0.028938906752411574
37,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),41,R@100,0.1607717041800643
38,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),41,RR@10,1.0
39,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),46,R@10,0.01098901098901099
40,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),46,R@100,0.016483516483516484
41,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),46,RR@10,0.14285714285714285
42,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),47,R@10,0.009523809523809525
43,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),47,R@100,0.08333333333333333
44,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),47,RR@10,1.0
45,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),48,R@10,0.02252252252252252
46,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),48,R@100,0.06756756756756757
47,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),48,RR@10,1.0
0,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),5,R@10,0.003257328990228013
1,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),5,R@100,0.013029315960912053
2,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),5,RR@10,0.3333333333333333
3,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),8,R@10,0.0015822784810126582
4,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),8,R@100,0.006329113924050633
5,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f3cfd277920>),8,RR@10,0.1111111111111111
