,name,qid,measure,value
6,TerrierRetr(BM25),13,R@10,0.00461361014994233
7,TerrierRetr(BM25),13,R@100,0.02191464821222607
8,TerrierRetr(BM25),13,RR@10,1.0
9,TerrierRetr(BM25),14,R@10,0.03137254901960784
10,TerrierRetr(BM25),14,R@100,0.2235294117647059
11,TerrierRetr(BM25),14,RR@10,1.0
12,TerrierRetr(BM25),17,R@10,0.008982035928143712
13,TerrierRetr(BM25),17,R@100,0.10479041916167664
14,TerrierRetr(BM25),17,RR@10,1.0
15,TerrierRetr(BM25),18,R@10,0.01592356687898089
16,TerrierRetr(BM25),18,R@100,0.11942675159235669
17,TerrierRetr(BM25),18,RR@10,1.0
18,TerrierRetr(BM25),22,R@10,0.009157509157509158
19,TerrierRetr(BM25),22,R@100,0.07142857142857142
20,TerrierRetr(BM25),22,RR@10,1.0
21,TerrierRetr(BM25),26,R@10,0.008997429305912597
22,TerrierRetr(BM25),26,R@100,0.04884318766066838
23,TerrierRetr(BM25),26,RR@10,1.0
24,TerrierRetr(BM25),29,R@10,0.009933774834437087
25,TerrierRetr(BM25),29,R@100,0.06291390728476821
26,TerrierRetr(BM25),29,RR@10,1.0
27,TerrierRetr(BM25),35,R@10,0.01834862385321101
28,TerrierRetr(BM25),35,R@100,0.15137614678899083
29,TerrierRetr(BM25),35,RR@10,1.0
30,TerrierRetr(BM25),36,R@10,0.0032733224222585926
31,TerrierRetr(BM25),36,R@100,0.0867430441898527
32,TerrierRetr(BM25),36,RR@10,1.0
33,TerrierRetr(BM25),38,R@10,0.007898894154818325
34,TerrierRetr(BM25),38,R@100,0.06477093206951026
35,TerrierRetr(BM25),38,RR@10,1.0
36,TerrierRetr(BM25),41,R@10,0.03215434083601286
37,TerrierRetr(BM25),41,R@100,0.17041800643086816
38,TerrierRetr(BM25),41,RR@10,1.0
39,TerrierRetr(BM25),46,R@10,0.027472527472527472
40,TerrierRetr(BM25),46,R@100,0.1978021978021978
41,TerrierRetr(BM25),46,RR@10,0.5
42,TerrierRetr(BM25),47,R@10,0.01904761904761905
43,TerrierRetr(BM25),47,R@100,0.18333333333333332
44,TerrierRetr(BM25),47,RR@10,1.0
45,TerrierRetr(BM25),48,R@10,0.02252252252252252
46,TerrierRetr(BM25),48,R@100,0.16891891891891891
47,TerrierRetr(BM25),48,RR@10,1.0
0,TerrierRetr(BM25),5,R@10,0.0
1,TerrierRetr(BM25),5,R@100,0.0016286644951140066
2,TerrierRetr(BM25),5,RR@10,0.0
3,TerrierRetr(BM25),8,R@10,0.0
4,TerrierRetr(BM25),8,R@100,0.004746835443037975
5,TerrierRetr(BM25),8,RR@10,0.0
