,name,qid,measure,value
6,TerrierRetr(BM25),13,R@10,0.0057670126874279125
7,TerrierRetr(BM25),13,R@100,0.03806228373702422
8,TerrierRetr(BM25),13,RR@10,1.0
9,TerrierRetr(BM25),14,R@10,0.011764705882352941
10,TerrierRetr(BM25),14,R@100,0.10196078431372549
11,TerrierRetr(BM25),14,RR@10,0.5
12,TerrierRetr(BM25),17,R@10,0.0029940119760479044
13,TerrierRetr(BM25),17,R@100,0.04491017964071856
14,TerrierRetr(BM25),17,RR@10,1.0
15,TerrierRetr(BM25),18,R@10,0.009554140127388535
16,TerrierRetr(BM25),18,R@100,0.06528662420382166
17,TerrierRetr(BM25),18,RR@10,0.3333333333333333
18,TerrierRetr(BM25),22,R@10,0.016483516483516484
19,TerrierRetr(BM25),22,R@100,0.13736263736263737
20,TerrierRetr(BM25),22,RR@10,0.5
21,TerrierRetr(BM25),26,R@10,0.002570694087403599
22,TerrierRetr(BM25),26,R@100,0.03470437017994859
23,TerrierRetr(BM25),26,RR@10,1.0
24,TerrierRetr(BM25),29,R@10,0.0033112582781456954
25,TerrierRetr(BM25),29,R@100,0.0380794701986755
26,TerrierRetr(BM25),29,RR@10,0.14285714285714285
27,TerrierRetr(BM25),35,R@10,0.009174311926605505
28,TerrierRetr(BM25),35,R@100,0.03211009174311927
29,TerrierRetr(BM25),35,RR@10,0.3333333333333333
30,TerrierRetr(BM25),36,R@10,0.01309328968903437
31,TerrierRetr(BM25),36,R@100,0.09819967266775777
32,TerrierRetr(BM25),36,RR@10,1.0
33,TerrierRetr(BM25),38,R@10,0.007898894154818325
34,TerrierRetr(BM25),38,R@100,0.05292259083728278
35,TerrierRetr(BM25),38,RR@10,1.0
36,TerrierRetr(BM25),41,R@10,0.028938906752411574
37,TerrierRetr(BM25),41,R@100,0.17684887459807075
38,TerrierRetr(BM25),41,RR@10,1.0
39,TerrierRetr(BM25),46,R@10,0.016483516483516484
40,TerrierRetr(BM25),46,R@100,0.13186813186813187
41,TerrierRetr(BM25),46,RR@10,1.0
42,TerrierRetr(BM25),47,R@10,0.004761904761904762
43,TerrierRetr(BM25),47,R@100,0.05238095238095238
44,TerrierRetr(BM25),47,RR@10,0.25
45,TerrierRetr(BM25),48,R@10,0.015765765765765764
46,TerrierRetr(BM25),48,R@100,0.1463963963963964
47,TerrierRetr(BM25),48,RR@10,1.0
0,TerrierRetr(BM25),5,R@10,0.013029315960912053
1,TerrierRetr(BM25),5,R@100,0.07003257328990228
2,TerrierRetr(BM25),5,RR@10,0.3333333333333333
3,TerrierRetr(BM25),8,R@10,0.0015822784810126582
4,TerrierRetr(BM25),8,R@100,0.00949367088607595
5,TerrierRetr(BM25),8,RR@10,1.0
