,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.0
1,TerrierRetr(BM25),1,R@100,0.015698587127158554
2,TerrierRetr(BM25),1,RR@10,0.0
9,TerrierRetr(BM25),12,R@10,0.003246753246753247
10,TerrierRetr(BM25),12,R@100,0.024350649350649352
11,TerrierRetr(BM25),12,RR@10,0.3333333333333333
12,TerrierRetr(BM25),15,R@10,0.0
13,TerrierRetr(BM25),15,R@100,0.002364066193853428
14,TerrierRetr(BM25),15,RR@10,0.0
15,TerrierRetr(BM25),21,R@10,0.0
16,TerrierRetr(BM25),21,R@100,0.011111111111111112
17,TerrierRetr(BM25),21,RR@10,0.0
18,TerrierRetr(BM25),23,R@10,0.008086253369272238
19,TerrierRetr(BM25),23,R@100,0.05929919137466307
20,TerrierRetr(BM25),23,RR@10,0.5
21,TerrierRetr(BM25),24,R@10,0.0049504950495049506
22,TerrierRetr(BM25),24,R@100,0.07920792079207921
23,TerrierRetr(BM25),24,RR@10,1.0
24,TerrierRetr(BM25),25,R@10,0.011342155009451797
25,TerrierRetr(BM25),25,R@100,0.062381852551984876
26,TerrierRetr(BM25),25,RR@10,0.25
27,TerrierRetr(BM25),27,R@10,0.009422850412249705
28,TerrierRetr(BM25),27,R@100,0.08716136631330977
29,TerrierRetr(BM25),27,RR@10,0.5
3,TerrierRetr(BM25),3,R@10,0.006369426751592357
4,TerrierRetr(BM25),3,R@100,0.04936305732484077
5,TerrierRetr(BM25),3,RR@10,0.25
30,TerrierRetr(BM25),30,R@10,0.01891891891891892
31,TerrierRetr(BM25),30,R@100,0.16216216216216217
32,TerrierRetr(BM25),30,RR@10,1.0
33,TerrierRetr(BM25),32,R@10,0.0
34,TerrierRetr(BM25),32,R@100,0.0
35,TerrierRetr(BM25),32,RR@10,0.0
36,TerrierRetr(BM25),34,R@10,0.0
37,TerrierRetr(BM25),34,R@100,0.01744186046511628
38,TerrierRetr(BM25),34,RR@10,0.0
39,TerrierRetr(BM25),39,R@10,0.0069767441860465115
40,TerrierRetr(BM25),39,R@100,0.06511627906976744
41,TerrierRetr(BM25),39,RR@10,0.5
42,TerrierRetr(BM25),40,R@10,0.007194244604316547
43,TerrierRetr(BM25),40,R@100,0.044964028776978415
44,TerrierRetr(BM25),40,RR@10,0.14285714285714285
45,TerrierRetr(BM25),42,R@10,0.0205761316872428
46,TerrierRetr(BM25),42,R@100,0.21810699588477367
47,TerrierRetr(BM25),42,RR@10,0.3333333333333333
48,TerrierRetr(BM25),43,R@10,0.02766798418972332
49,TerrierRetr(BM25),43,R@100,0.23715415019762845
50,TerrierRetr(BM25),43,RR@10,1.0
51,TerrierRetr(BM25),50,R@10,0.014598540145985401
52,TerrierRetr(BM25),50,R@100,0.051094890510948905
53,TerrierRetr(BM25),50,RR@10,0.25
6,TerrierRetr(BM25),9,R@10,0.0
7,TerrierRetr(BM25),9,R@100,0.031413612565445025
8,TerrierRetr(BM25),9,RR@10,0.0
