,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.012558869701726845
1,TerrierRetr(BM25),1,R@100,0.07378335949764521
2,TerrierRetr(BM25),1,RR@10,1.0
9,TerrierRetr(BM25),12,R@10,0.008116883116883116
10,TerrierRetr(BM25),12,R@100,0.06168831168831169
11,TerrierRetr(BM25),12,RR@10,1.0
12,TerrierRetr(BM25),15,R@10,0.0070921985815602835
13,TerrierRetr(BM25),15,R@100,0.02127659574468085
14,TerrierRetr(BM25),15,RR@10,0.5
15,TerrierRetr(BM25),21,R@10,0.014285714285714285
16,TerrierRetr(BM25),21,R@100,0.05873015873015873
17,TerrierRetr(BM25),21,RR@10,1.0
18,TerrierRetr(BM25),23,R@10,0.026954177897574125
19,TerrierRetr(BM25),23,R@100,0.15902964959568733
20,TerrierRetr(BM25),23,RR@10,1.0
21,TerrierRetr(BM25),24,R@10,0.022277227722772276
22,TerrierRetr(BM25),24,R@100,0.1485148514851485
23,TerrierRetr(BM25),24,RR@10,1.0
24,TerrierRetr(BM25),25,R@10,0.011342155009451797
25,TerrierRetr(BM25),25,R@100,0.045368620037807186
26,TerrierRetr(BM25),25,RR@10,1.0
27,TerrierRetr(BM25),27,R@10,0.011778563015312132
28,TerrierRetr(BM25),27,R@100,0.07891637220259129
29,TerrierRetr(BM25),27,RR@10,1.0
3,TerrierRetr(BM25),3,R@10,0.0031847133757961785
4,TerrierRetr(BM25),3,R@100,0.050955414012738856
5,TerrierRetr(BM25),3,RR@10,1.0
30,TerrierRetr(BM25),30,R@10,0.02702702702702703
31,TerrierRetr(BM25),30,R@100,0.22972972972972974
32,TerrierRetr(BM25),30,RR@10,1.0
33,TerrierRetr(BM25),32,R@10,0.004629629629629629
34,TerrierRetr(BM25),32,R@100,0.023148148148148147
35,TerrierRetr(BM25),32,RR@10,0.25
36,TerrierRetr(BM25),34,R@10,0.005813953488372093
37,TerrierRetr(BM25),34,R@100,0.040697674418604654
38,TerrierRetr(BM25),34,RR@10,0.125
39,TerrierRetr(BM25),39,R@10,0.011627906976744186
40,TerrierRetr(BM25),39,R@100,0.10697674418604651
41,TerrierRetr(BM25),39,RR@10,1.0
42,TerrierRetr(BM25),40,R@10,0.012589928057553957
43,TerrierRetr(BM25),40,R@100,0.10071942446043165
44,TerrierRetr(BM25),40,RR@10,1.0
45,TerrierRetr(BM25),42,R@10,0.012345679012345678
46,TerrierRetr(BM25),42,R@100,0.15637860082304528
47,TerrierRetr(BM25),42,RR@10,0.3333333333333333
48,TerrierRetr(BM25),43,R@10,0.039525691699604744
49,TerrierRetr(BM25),43,R@100,0.26877470355731226
50,TerrierRetr(BM25),43,RR@10,1.0
51,TerrierRetr(BM25),50,R@10,0.029197080291970802
52,TerrierRetr(BM25),50,R@100,0.10218978102189781
53,TerrierRetr(BM25),50,RR@10,1.0
6,TerrierRetr(BM25),9,R@10,0.02617801047120419
7,TerrierRetr(BM25),9,R@100,0.13612565445026178
8,TerrierRetr(BM25),9,RR@10,1.0
