,name,qid,measure,value
0,TerrierRetr(BM25),1,R@10,0.004709576138147566
1,TerrierRetr(BM25),1,R@100,0.04395604395604396
2,TerrierRetr(BM25),1,RR@10,0.3333333333333333
9,TerrierRetr(BM25),12,R@10,0.0
10,TerrierRetr(BM25),12,R@100,0.006493506493506494
11,TerrierRetr(BM25),12,RR@10,0.0
12,TerrierRetr(BM25),15,R@10,0.0
13,TerrierRetr(BM25),15,R@100,0.004728132387706856
14,TerrierRetr(BM25),15,RR@10,0.0
15,TerrierRetr(BM25),21,R@10,0.0
16,TerrierRetr(BM25),21,R@100,0.0
17,TerrierRetr(BM25),21,RR@10,0.0
18,TerrierRetr(BM25),23,R@10,0.005390835579514825
19,TerrierRetr(BM25),23,R@100,0.05929919137466307
20,TerrierRetr(BM25),23,RR@10,0.125
21,TerrierRetr(BM25),24,R@10,0.007425742574257425
22,TerrierRetr(BM25),24,R@100,0.034653465346534656
23,TerrierRetr(BM25),24,RR@10,0.5
24,TerrierRetr(BM25),25,R@10,0.0
25,TerrierRetr(BM25),25,R@100,0.001890359168241966
26,TerrierRetr(BM25),25,RR@10,0.0
27,TerrierRetr(BM25),27,R@10,0.0035335689045936395
28,TerrierRetr(BM25),27,R@100,0.02120141342756184
29,TerrierRetr(BM25),27,RR@10,0.2
3,TerrierRetr(BM25),3,R@10,0.0031847133757961785
4,TerrierRetr(BM25),3,R@100,0.02388535031847134
5,TerrierRetr(BM25),3,RR@10,0.3333333333333333
30,TerrierRetr(BM25),30,R@10,0.016216216216216217
31,TerrierRetr(BM25),30,R@100,0.12702702702702703
32,TerrierRetr(BM25),30,RR@10,1.0
33,TerrierRetr(BM25),32,R@10,0.0
34,TerrierRetr(BM25),32,R@100,0.009259259259259259
35,TerrierRetr(BM25),32,RR@10,0.0
36,TerrierRetr(BM25),34,R@10,0.005813953488372093
37,TerrierRetr(BM25),34,R@100,0.05232558139534884
38,TerrierRetr(BM25),34,RR@10,1.0
39,TerrierRetr(BM25),39,R@10,0.010465116279069767
40,TerrierRetr(BM25),39,R@100,0.07674418604651163
41,TerrierRetr(BM25),39,RR@10,1.0
42,TerrierRetr(BM25),40,R@10,0.007194244604316547
43,TerrierRetr(BM25),40,R@100,0.05575539568345324
44,TerrierRetr(BM25),40,RR@10,0.3333333333333333
45,TerrierRetr(BM25),42,R@10,0.0411522633744856
46,TerrierRetr(BM25),42,R@100,0.2674897119341564
47,TerrierRetr(BM25),42,RR@10,1.0
48,TerrierRetr(BM25),43,R@10,0.0
49,TerrierRetr(BM25),43,R@100,0.08695652173913043
50,TerrierRetr(BM25),43,RR@10,0.0
51,TerrierRetr(BM25),50,R@10,0.043795620437956206
52,TerrierRetr(BM25),50,R@100,0.17518248175182483
53,TerrierRetr(BM25),50,RR@10,1.0
6,TerrierRetr(BM25),9,R@10,0.02617801047120419
7,TerrierRetr(BM25),9,R@100,0.11518324607329843
8,TerrierRetr(BM25),9,RR@10,1.0
