qid,query
test-environment-aeghhgwpe-pro02a,being vegetarian helps the environment becoming a vegetarian is an environmentally friendly thing to do modern farming is one of the main sources of pollution in our rivers beef farming is one of the main causes of deforestation and as long as people continue to buy fast food in their billions there will be a financial incentive to continue cutting down trees to make room for cattle because of our desire to eat fish our rivers and seas are being emptied of fish and many species are facing extinction energy resources are used up much more greedily by meat farming than my farming cereals pulses etc eating meat and fish not only causes cruelty to animals it causes serious harm to the environment and to biodiversity for example consider meat production related pollution and deforestation at toronto s 1992 royal agricultural winter fair agriculture canada displayed two contrasting statistics it takes four football fields of land about 1 6 hectares to feed each canadian and one apple tree produces enough fruit to make 320 pies think about it a couple of apple trees and a few rows of wheat on a mere fraction of a hectare could produce enough food for one person 1 the 2006 u n food and agriculture organization fao report concluded that worldwide livestock farming generates 18 of the planet s greenhouse gas emissions by comparison all the world s cars trains planes and boats account for a combined 13 of greenhouse gas emissions 2 as a result of the above point producing meat damages the environment the demand for meat drives deforestation daniel cesar avelino of brazil s federal public prosecution office says we know that the single biggest driver of deforestation in the amazon is cattle this clearing of tropical rainforests such as the amazon for agriculture is estimated to produce 17 of the world s greenhouse gas emissions 3 not only this but the production of meat takes a lot more energy than it ultimately gives us chicken meat production consumes energy in a 4 1 ratio to protein output beef cattle production requires an energy input to protein output ratio of 54 1 the same is true with water use due to the same phenomenon of meat being inefficient to produce in terms of the amount of grain needed to produce the same weight of meat production requires a lot of water water is another scarce resource that we will soon not have enough of in various areas of the globe grain fed beef production takes 100 000 liters of water for every kilogram of food raising broiler chickens takes 3 500 liters of water to make a kilogram of meat in comparison soybean production uses 2 000 liters for kilogram of food produced rice 1 912 wheat 900 and potatoes 500 liters 4 this is while there are areas of the globe that have severe water shortages with farming using up to 70 times more water than is used for domestic purposes cooking and washing a third of the population of the world is already suffering from a shortage of water 5 groundwater levels are falling all over the world and rivers are beginning to dry up already some of the biggest rivers such as china s yellow river do not reach the sea 6 with a rising population becoming vegetarian is the only responsible way to eat 1 stephen leckie how meat centred eating patterns affect food security and the environment international development research center 2 bryan walsh meat making global warming worse time magazine 10 september 2008 3 david adam supermarket suppliers helping to destroy amazon rainforest the guardian 21st june 2009 4 roger segelken u s could feed 800 million people with grain that livestock eat cornell science news 7th august 1997 5 fiona harvey water scarcity affects one in three ft com 21st august 2003 6 rupert wingfield hayes yellow river drying up bbc news 29th july 2004
test-environment-aeghhgwpe-pro01a,it is immoral to kill animals as evolved human beings it is our moral duty to inflict as little pain as possible for our survival so if we do not need to inflict pain to animals in order to survive we should not do it farm animals such as chickens pigs sheep and cows are sentient living beings like us they are our evolutionary cousins and like us they can feel pleasure and pain the 18th century utilitarian philosopher jeremy bentham even believed that animal suffering was just as serious as human suffering and likened the idea of human superiority to racism it is wrong to farm and kill these animals for food when we do not need to do so the methods of farming and slaughter of these animals are often barbaric and cruel even on supposedly free range farms 1 ten billion animals were slaughtered for human consumption each year stated peta and unlike the farms long time ago where animals roamed freely today most animals are factory farmed crammed into cages where they can barely move and fed a diet adulterated with pesticides and antibiotics these animals spend their entire lives in their prisoner cells so small that they can t even turn around many suffer serious health problems and even death because they are selectively bred to grow or produce milk or eggs at a far greater rate than their bodies are capable of coping with at the slaughterhouse there were millions of others who are killed every year for food further on tom regan explains that all duties regarding animals are indirect duties to one another from a philosophical point of view he illustrates it with an analogy regarding children children for example are unable to sign contracts and lack rights but they are protected by the moral contract nonetheless because of the sentimental interests of others so we have then duties involving these children duties regarding them but no duties to them our duties in their case are indirect duties to other human beings usually their parents 2 with this he supports the theory that animals must be protected from suffering as it is moral to protect any living being from suffering not because we have a moral contract with them but mainly due to respect of life and recognition of suffering itself 1 claire suddath a brief history of veganism time 30 october 2008 2 tom regan the case for animal rights 1989
test-environment-aeghhgwpe-pro03a,vegetarianism is healthier there are significant health benefits to going veggie a vegetarian diet contains high quantities of fibre vitamins and minerals and is low in fat a vegan diet is even better since eggs and dairy products are high in cholesterol the risk of contracting many forms of cancer is increased by eating meat in 1996 the american cancer society recommended that red meat should be excluded from the diet entirely eating meat also increases the risk of heart disease vegetables contain no cholesterol which can build up to cause blocked arteries in meat eaters an american study found out that that men in the highest quintile of red meat consumption those who ate about 5 oz of red meat a day roughly the equivalent of a small steak had a 31 higher risk of death over a 10 year period than men in the lowest consumption quintile who ate less than 1 oz of red meat per day or approximately three slices of corned beef 1 a vegetarian diet reduces the risk for chronic degenerative diseases such as obesity high blood pressure diabetes and types of cancer including colon breast stomach and lung cancer because of it s low fat cholesterol content there are plenty of vegetarian sources of protein such as beans and bean curd and spinach is one of the best sources of iron 1 tiffany sharples the growing case against red meat time 23rd march 2009
test-environment-ehwsnwu-pro02a,underground nuclear storage is safe underground nuclear waste storage means that nuclear waste is stored at least 300m underground i1 the harm of a leak 300m underground is significantly limited if the area has been chosen correctly then there should be no water sources nearby to contaminate if this is the case then a leak s harm would be limited to the layers of sediment nearby which would be unaffected by radiation by comparison a leak outside might lead to animals nearby suffering from contamination further nuclear waste might reach water sources should there be a leak above ground if it is raining heavily when the leak happens for example further the other options available such as above ground storage present a potentially greater danger should something go wrong this is because it is much easier for nuclear waste to leak radiation into the air this is problematic because even a hint of radiation may well cause people to panic owing to the damaging and heavily publicised consequences of previous nuclear safety crises as such underground storage is safer both directly and indirectly 1 as well as this underground storage also prevents nuclear waste or nuclear radiation from reaching other states and as such results in greater safety across borders 2 further storing all nuclear waste underground means that countries can concentrate their research and training efforts on responding to subterranean containment failures focus and specialisation of this type is much more likely to avert a serious release of nuclear material from an underground facility than the broad and general approach that will be fostered by diverse and distinct above ground storage solutions 1 europe eyes underground nuclear waste repositories infowars ireland 20 02 2010 2 eu debates permanent storage for nuclear waste 04 11 2010 aboutmyplanet i1 i am not sure how to replace this section leakage of radioactive material into the air is a minimal danger the contributor may be referring to the ejection of irradiated dust and other particulates that has occurred when nuclear power stations have suffered explosive containment failures but this is not comparable to the types of containment failures that might happen in facilities used to store spent nuclear fuel rods and medical waste one of the more substantial risks presented by underground storage is release of nuclear material into a water source
test-environment-ehwsnwu-pro01a,underground nuclear storage is necessary even states without nuclear waste programs tend to generate radioactive waste for example research and medicine both use nuclear material and nuclear technology technologies such as medical imaging equipment are dependent and the use of radioactive elements this means that all states produce levels of nuclear waste that need to be dealt with moreover many non nuclear states are accelerating their programmes of research and investment into nuclear technologies with the exception of germany there is an increasing consensus among developed nations that nuclear power is the only viable method of meeting rising domestic demand for energy in the absence of reliable and efficient renewable forms of power generation the alternatives to putting nuclear waste in underground storage tend to be based around the reuse of nuclear waste in nuclear power stations whilst this is viable in some areas in countries which lack the technology to be able to do this and in countries which don t need to rely on nuclear power this option becomes irrelevant further even this process results in the creation of some nuclear waste so in countries with the technology to implement such a solution the disposal of the remaining nuclear waste is still an issue as such underground nuclear storage is a necessary method that should be used to dispose of nuclear waste 1 1 the eu s deep underground storage plan 03 11 2010 world nuclear news
test-environment-chbwtlgcc-pro04a,consequences of increased ghgs increased ghgs in the atmosphere have numerous significant consequences glaciers ice sheets and perma frost will continue to melt this will increase water levels release more ghgs methane which is twenty times more powerful as a greenhouse gas than co2 and co2 and reflect less heat back into the atmosphere exacerbating climate change1 the oceans which are a natural carbon sink are becoming increasingly acidic which will significantly damage ecosystems such as coral reefs additionally changes in the chemistry of the ocean could affect the amount of co2 it can absorb and process annually there will be increasing incidents of extreme weather such as hurricanes floods and record high low temperatures extreme weather can destroy ecosystems that capture co2 such as forests and peat bogs leading to less natural co2 absorption these events will accelerate climate change making it more difficult for humans to reduce ghg ppms to a sustainable level once average temperatures are above 2 5c events will be triggered that will be irreversible and it will take 1000s of years of lower ghg emissions for the earth to return to normal 2 1 connor steve exclusive the methane time bomb the independent 23rd september 2008 2 wikipedia climate change feedback retrieved 2011 08 08
test-health-hdond-pro01a,a practical solution there are many mechanisms by which this policy could be implemented the one common thread is that those hoping to receive organs would be divided into those registered as donors and those who are non donors potential recipients who are non donors would only receive an organ if all requests by donors for such an organ are filled for example if there is a scarcity of donated kidneys with the b serotype organ donors requiring a b kidney would all receive kidneys before any non donors receive them the existing metrics for deciding priority among recipients can still be applied within these lists among both donors and non donors individuals could be ranked on who receives an organ first based on who has been on the waiting list longer or who has more priority based on life expectancy this policy simply adds the caveat that non donors only access organs once all donors for their particular organ are satisfied what defines a donor could vary it could be that they must have been a donor for a certain number of years or that they must have been a donor prior to needing a transplant or even a pledge to become a donor henceforth and indeed even if they are terminally ill and for other reasons do not recover some of their organs may still be usable finally this policy need not preclude private donations or swaps of organs and instead can simply be applied to the public system
test-health-dhgsshbesbc-con01a,employers have no right to private medical information employers have no right to know this is an arena into which the state has no right to intrude or to compel intrusion by others employers will know if their employee s work is satisfactory or unsatisfactory what more do they need to know than that if employers find out they might dismiss workers which is exactly why many employees don t want to tell them if workers are forced to disclose the fact that they have hiv the merit principle will go out the window even if not dismissed their prospects for promotion will be shattered because of prejudice or the perception that their career has in any meaningful sense been finished by their condition which is often not the case as sufferers can work and lead fulfilling lives after diagnosis life expectancy after diagnosis in the us was 22 5 years in 2005 1 even if not fired and career advancement doesn t suffer prejudice from co workers is likely from harassment to reluctance to associate or interact with the employee this is something the employee knows he might face he has a right to decide for himself whether or not to make himself open to that managers may promise or be bound not to disclose such information to other workers but how likely is enforcement of such an undertaking for these reasons even problems with huge hiv problems like south africa haven t adopted this policy 1 harrison kathleen m et al life expectancy after hiv diagnosis based on national hiv surveillance data from 25 states united states journal of acquired immune deficiency syndromes vol 53 issue 1 january 2010
test-health-ahiahbgbsp-pro01a,lower healthcare costs smoking caused disease causes large expenses for healthcare systems something which is particularly burdensome in countries without the rich well developed healthcare systems of the developed world in the uk lung cancer one of the diseases caused by smoking costs 90 per person or 9071 per patient 1 even the cost per head of population is higher than ghana s entire healthcare budget of 83 4 about 50 per person 2 the reduction in smoking which would be triggered by the ban would lead to a drop in smoking related illness a study in the us state of arizona showed that hospital admissions for smoking related diseases dropped after a ban on smoking in public places 3 this would allow resources to be focused on the big killers other than tobacco including hiv aids 1 the national cancer research institute lung cancer uk price tag eclipses the cost of any other cancer cancer research uk 7 november 2012 2 assuming ghanaian health spending of 5 2 of gdp which is 40 71 billion split between a population of 25 37 million from world bank databank 3 herman patricia m and walsh michele e hospital admissions for acute myocardial infarction angina stroke and asthma after implementation of arizona s comprehensive statewide smoking ban american journal of public health march 2011
test-health-hgwhwbjfs-pro01a,schools need to practice what they preach under the pressure of increasing media coverage and civil society initiatives schools are being called upon to take up arms against childhood obesity both by introducing more nutritional and physical education classes as well as transforming the meals they are offering in their cafeterias 1 never before has school been so central to a child s personal and social education according to a study conducted by the university of michigan american children and teenagers spend in school about 32 5 hours per week homework a week 7 5 hours more than 20 years ago 2 school curricula now cover topics such as personal finance sex and relationships and citizenship a precedent for teaching pupils about living well and living responsibly has already been established some schools under national health programs have given out free milk and fruit to try and make sure that children get enough calcium and vitamins in case they are not getting enough at home 3 while we are seeing various nutritional and health food curricula cropping up 4 revamping the school lunch is proving to be a more challenging task limited resources and budget cuts hamper schools from offering both healthful good tasting alternatives and physical education programs says sanchez vaznaugh a san francisco state university researcher 5 with expert groups such as the obesity society urging policy makers to take into account the complex nature of the obesity epidemic 6 especially the interplay of biological and social factors that lead to individuals developing the disease it has become time for governments to urge schools to put their education into practice and give students an environment that allows them to make the healthy choices they learn about in class 1 stolberg s g michelle obama leads campaign against obesity new york times 9 february 2010 accessed 9 11 2011 2 university of michigan u s children and teens spend more time on academics 17 november 2004 accessed 09 08 2011 3 kent county council nutritional standards published september 2007 accessed 09 08 2011 4 veggiecation the veggiecation program announced as first educational partner of new york coalition for healthy school food 18 may 2011 accessed 9 11 2011 5 sciencedaily eliminating junk foods at schools may help prevent childhood obesity 7 march 2010 accessed 9 11 2011 6 kushner r f et al solutions eradicating america s obesity epidemic washington times 16 august 2009 accessed 9 11 2011
