qid,query
test-environment-aeghhgwpe-con01a,humans can choose their own nutrition plan humans are omnivores we are meant to eat both meat and plants like our early ancestors we have sharp canine teeth for tearing animal flesh and digestive systems adapted to eating meat and fish as well as vegetables our stomachs are also adapted to eating both meat and vegetable matter all of this means that eating meat is part of being human only in a few western countries are people self indulgent enough to deny their nature and get upset about a normal human diet we were made to eat both meat and vegetables cutting out half of this diet will inevitably mean we lose that natural balance eating meat is entirely natural like many other species human beings were once hunters in the wild animals kill and are killed often very brutally and with no idea of rights as mankind has progressed over thousands of years we have largely stopped hunting wild animals instead we have found kinder and less wasteful ways of getting the meat in our diets through domestication farm animals today are descended from the animals we once hunted in the wild
test-environment-aiahwagit-con04a,heavy handed approaches do not solve the motivations for poaching creating tougher responses to poaching will not deter poachers as they fail to recognise the motivations for illegal hunting many hunters especially those who aren t native to africa take part in poaching as there is a thrill in the illegal status 1 the close calls challenges and sense of independence will all be multiplied by increased protection on the game reserves then there are those who take part out of necessity poachers will often be able to make 50 100 per kilogram for a rhinoceros horn 2 and the bush meat from kills can be a necessary source of nutrition 3 poaching creates opportunities for africans which are usually unavailable in licit work tougher protection of animals fails to provide an alternative livelihood for these poachers 1 forsyth c amp marckese t thrills and skills a sociological analysis of poaching pg 162 2 stewart c illegal ivory trade funds al shabaab s terrorist attacks 3 bbc lions facing extinction in west africa
test-environment-aiahwagit-con03a,legalising the trade of horns ivory furs and pelts would be more effective making it legal for hunters to kill these endangered animals rather than protecting them could prevent extinction the protected status of endangered animals has made their pelts horns and tusks more expensive as they are harder to obtain 1 the current illegality of trading rhino horns has constrained supply in comparison to demand in asia this has driven the price of the horn to around 84 000 softening protection for endangered animals could in theory reduce the price to a point where it is no longer profitable to hunt these endangered animals 2 this would potentially increase supply by freeing up that seized by governments which is currently destroyed and could potentially involve farming as south africa is considering with rhino horn 3 1 welz a the war on african poaching is militarization fated to fail 2 player i amp fourie a how to win the war against poachers 3 molewa e statement on rhino poaching intervention
test-environment-ehwsnwu-con02a,there are better alternatives to underground nuclear waste storage france is the largest nuclear energy producer in the world it generates 80 of its electricity from nuclear power 1 it is very important to note therefore that it does not rely on underground nuclear waste storage instead it relies on above ground on site storage this kind of storage combined with heavy reprocessing and recycling of nuclear waste makes underground storage unnecessary 2 as such it seems logical that in most western liberal democracies that are able to reach the same level of technological progress as france it makes more sense to store nuclear waste above ground above ground checks and balances can be put into place that allow the maintenance of these nuclear storage facilities to be monitored more closely furthermore reprocessing and recycling leads to less wasted uranium overall this is important as uranium whilst being plentiful in the earth is often difficult to mine and mill as such savings here often significantly benefit things such as the environment and lower the economic cost of the entire operation 1 bbc news france nuclear power funding gets 1bn euro boost 27 june 2011 2 palfreman jon why the french like nuclear energy pbs
test-environment-ehwsnwu-con03a,nuclear waste should be reused to create more electricity there are new kinds of nuclear reactor such as integral fast reactors which can be powered by the waste from normal nuclear reactors or from uranium the same as any other nuclear reactor this means that the waste from other reactors or dismantled nuclear weapons could be used to power these new reactors the integral fast reactor extends the ability to produce energy roughly by a factor of 100 this would therefore be a very long term energy source 1 the waste at the end of the process is not nearly as much of a problem as it is from current reactors because the ifr recycles the waste hundreds of times there is very much less waste remaining and what there is has a much shorter half life only tens of years rather than thousands this makes storage for the remainder much more feasible as there would be much less space required 2 1 till charles nuclear reaction why do americans fear nuclear power pbs 2 monbiot george we need to talk about sellafield and a nuclear solution that ticks all our boxes guardian co uk 5 december 2011
test-environment-ehwsnwu-con01a,underground nuclear storage is expensive underground nuclear storage is expensive this is because the deep geological repositories needed to deal with such waste are difficult to construct this is because said repositories need to be 300m underground and also need failsafe systems so that they can be sealed off should there be a leak for smaller countries implementing this idea is almost completely impossible further the maintenance of the facilities also requires a lot of long term investment as the structural integrity of the facilities must consistently be monitored and maintained so that if there is a leak the relevant authorities can be informed quickly and efficiently this is seen with the yucca mountain waste repository site which has cost billions of dollars since the 1990s and was eventually halted due to public fears about nuclear safety 1 1 isn security watch europe s nuclear waste storage problems oilprice com 01 06 2010
test-environment-chbwtlgcc-pro01a,450 ppm the ipcc s fourth assessment report determined that atmospheric ghg emissions needed to stabilize at 450ppm in order to avoid a temperature rise of more than 2 2 4c atmospheric ppm are currently at 393 and are rising at a rate of about 2 ppm per year in order to stabilize at 450 ppm the developed world would need to reduce its emissions by 25 40 by 2020 and 80 90 by 2050 along with significant reductions in the emissions growth rate of developing countries 1 only a handful of countries all of them in europe have achieved any reduction in annual ghg emissions despite promises to do so going back to the 1997 kyoto protocol 2 as a result there is no evidence on which to reasonably conclude that atmospheric ghgs will be stabilized at 450ppm 1 ipcc 2007 ipcc fourth assessment report climate change 2007 ar4 cambridge united kingdom and new york ny usa cambridge university press 2 the guardian world carbon dioxide emissions data by country china speeds ahead of the rest 31 1 11
test-environment-chbwtlgcc-pro03a,failure to reach global accord the kyoto protocol failed to reduce global ghg emissions and in the midst of an economic crisis world leaders were unable to even agree to a replacement treaty when it expired there is no meaningful global emissions reduction treaty ready for ratification and no reason to be optimistic that one is forthcoming the developing world believes it has a legitimate right to expand economically without emissions caps because the rich world is responsible for the vast majority of emissions over the last 200 years and per capita emissions in developing countries are still far lower than in the developed world as such developing countries will only agree to a global accord that pays for their emissions reductions abatement however the developed world is unwilling to transfer wealth in exchange for a right to emit particularly at a time when so many have large budget deficits 1 given that the growth of annual emissions is being driven by developing countries many developed countries like the us believe that any treaty that does not include developing countries particularly china would be fruitless 1 the economist a bad climate for development 17th september 2009
test-environment-chbwtlgcc-con03a,new technology humanity has revolutionized the world repeatedly through such monumental inventions as agriculture steel anti biotics and microchips and as technology has improved so too has the rate at which technology improves it is predicted that there will be 32 times more change between 2000 and 2050 than there was between 1950 and 2000 in the midst of this many great minds will be focussed on emissions abatement and climate control technologies so even if the most severe climate predictions do come to pass it is unimaginable that humanity will not find a way to intervene even small changes will make a difference more efficient coal power stations can emit a third less emissions than less efficient ones 1 renewable energy will become more competitive and scalable and technology develops we may even be able to remove carbon from the atmosphere so undoing the damage 1 1 bradsher keith china outpaces u s in cleaner coal fired plants new york times published may 10 2009
test-environment-chbwtlgcc-con01a,carbon trading schemes the eu ets is an example of a viable carbon market it covers thirty countries from the eu as well as iceland liechtenstein and norway countries within the ets are using market mechanisms to force domestic emitters to meet national caps as the amount of allowances reduces over time emissions fall in 2020 under the ets emissions will be 21 lower than in 2005 1 the ipcc report contains recommendations for how emissions can be abated through the simultaneous application of numerous small reductions and the implementation of abatement technologies and this is exactly what schemes like the ets encourage part of the reason that the ets is successful is that it is ensuring an even playing field between countries by more or less applying its rules equally across borders and industries 2 1 european trading system 2010 2 european commission climate action emissions trading system
