qid,query,modified_query
test-environment-aeghhgwpe-pro02a,being vegetarian helps the environment becoming a vegetarian is an environmentally friendly thing to do modern farming is one of the main sources of pollution in our rivers beef farming is one of the main causes of deforestation and as long as people continue to buy fast food in their billions there will be a financial incentive to continue cutting down trees to make room for cattle because of our desire to eat fish our rivers and seas are being emptied of fish and many species are facing extinction energy resources are used up much more greedily by meat farming than my farming cereals pulses etc eating meat and fish not only causes cruelty to animals it causes serious harm to the environment and to biodiversity for example consider meat production related pollution and deforestation at toronto s 1992 royal agricultural winter fair agriculture canada displayed two contrasting statistics it takes four football fields of land about 1 6 hectares to feed each canadian and one apple tree produces enough fruit to make 320 pies think about it a couple of apple trees and a few rows of wheat on a mere fraction of a hectare could produce enough food for one person 1 the 2006 u n food and agriculture organization fao report concluded that worldwide livestock farming generates 18 of the planet s greenhouse gas emissions by comparison all the world s cars trains planes and boats account for a combined 13 of greenhouse gas emissions 2 as a result of the above point producing meat damages the environment the demand for meat drives deforestation daniel cesar avelino of brazil s federal public prosecution office says we know that the single biggest driver of deforestation in the amazon is cattle this clearing of tropical rainforests such as the amazon for agriculture is estimated to produce 17 of the world s greenhouse gas emissions 3 not only this but the production of meat takes a lot more energy than it ultimately gives us chicken meat production consumes energy in a 4 1 ratio to protein output beef cattle production requires an energy input to protein output ratio of 54 1 the same is true with water use due to the same phenomenon of meat being inefficient to produce in terms of the amount of grain needed to produce the same weight of meat production requires a lot of water water is another scarce resource that we will soon not have enough of in various areas of the globe grain fed beef production takes 100 000 liters of water for every kilogram of food raising broiler chickens takes 3 500 liters of water to make a kilogram of meat in comparison soybean production uses 2 000 liters for kilogram of food produced rice 1 912 wheat 900 and potatoes 500 liters 4 this is while there are areas of the globe that have severe water shortages with farming using up to 70 times more water than is used for domestic purposes cooking and washing a third of the population of the world is already suffering from a shortage of water 5 groundwater levels are falling all over the world and rivers are beginning to dry up already some of the biggest rivers such as china s yellow river do not reach the sea 6 with a rising population becoming vegetarian is the only responsible way to eat 1 stephen leckie how meat centred eating patterns affect food security and the environment international development research center 2 bryan walsh meat making global warming worse time magazine 10 september 2008 3 david adam supermarket suppliers helping to destroy amazon rainforest the guardian 21st june 2009 4 roger segelken u s could feed 800 million people with grain that livestock eat cornell science news 7th august 1997 5 fiona harvey water scarcity affects one in three ft com 21st august 2003 6 rupert wingfield hayes yellow river drying up bbc news 29th july 2004,being vgetarian helps the environment becoming a vegetaian is an envronmentaly friendly thing to do modern farming is one of the main sources of pollution in our rves beef farming is one of the main cases of eforestation and as long as people cntin to buy fast food in thier billions thee will be a financi incentive to contnue cutting down trees to mke room for cattle because of our esire to eat fish our rivers and seas are being emptied of fish and many species are facing einction enegy resources are used up much more greedily by meat farmin than my farming cereals puses etc eating eat and fih not only auses cruelty t nimals it cause serious hrm to the environment an to biodiversity for exmple consider meat production related pollution and deforestation at toronto s 1992 royal agricultural wnte fair agriculture canada displayed two contrating statistics i takes four fotbal field of land about 1 6 hectars to feed each canadia and one apple tree produces enough ruit t make 320 pies think abou it a couple of apple trees and a few rows of wheat on a mere fractio o a hectre could produce enugh food for one person 1 the 2006 u n food and agriculture organization fao report concluded that worlwide livestok farming generates 18 of the planet s geenhouse gas emissions by comparison all the wrld s cars trains planes and bots acoun for a combined 13 of greenhouse gas emissions 2 as a resul of the above point producng meat daages the environment th demand for mat dives deforesttion daniel cesa avelino o bazil s federal pubic prsecution office says we ow that the single biggest driver of deforestation in the amazon is cattle thi cleing of tropical rainfoests such s the amazon for agriculture is estmate to produce 17 of th world s greenhouse gas emissons 3 not only this but the prduction of meat takes a lot more energy tan it ultimatel gives s hicken met prodction consumes ener in a 4 1 ratio to proten utput eef cattle productin requires an energy input t potein output ratio of 54 1 he ame is tue with water use due to the same phnmeno of eat beig nefficient to produce in terms of the aount of grain needed to produce the same weight of meat production rquires a lot of wate water i another sarce reorce that w will soon no have enough of in various areas of the globe grain fed beef production taks 100 000 liters of ater fr every kilora of foo raising broiler chickens takes 3 500 liters of ater to mke a kilogam of meat in comparison soybean production uses 2 000 lter for kilogram of food produced rice 1 912 wheat 900 ad potatos 500 liters 4 i is while there ae areas of th gloe tht hav severe water shortages with farmin using up to 70 times more water than is used for domestic purpose coking and washing a thir of th population of the world is already suffering fom a shortage of water 5 groundwater levels are falling all over the world and rives are begining to dry up already some of the biggest rivers such as chia s yelow rivr do not reach te sea 6 with a risin population becoming vegetaria is the only resnsble way o eat 1 stephen lecke ho meat centred eating patterns affect food security and te environment internaional develoment research center 2 bryan walsh meat making gobal waring worse tim magazine 10 september 2008 3 david adam spermarket suppliers heling to destroy amazon rainfoest the guardian 21st june 09 4 roger segelken u s could feed 800 milion people wit rain that livestok eat cornell science news 7t august 1997 5 fiona harvey waer scarcity affects one in three ft om 21s august 2003 6 rupert wingfiel hayes yellow rier drng up bbc news 29t july 2004
test-environment-aeghhgwpe-pro01a,it is immoral to kill animals as evolved human beings it is our moral duty to inflict as little pain as possible for our survival so if we do not need to inflict pain to animals in order to survive we should not do it farm animals such as chickens pigs sheep and cows are sentient living beings like us they are our evolutionary cousins and like us they can feel pleasure and pain the 18th century utilitarian philosopher jeremy bentham even believed that animal suffering was just as serious as human suffering and likened the idea of human superiority to racism it is wrong to farm and kill these animals for food when we do not need to do so the methods of farming and slaughter of these animals are often barbaric and cruel even on supposedly free range farms 1 ten billion animals were slaughtered for human consumption each year stated peta and unlike the farms long time ago where animals roamed freely today most animals are factory farmed crammed into cages where they can barely move and fed a diet adulterated with pesticides and antibiotics these animals spend their entire lives in their prisoner cells so small that they can t even turn around many suffer serious health problems and even death because they are selectively bred to grow or produce milk or eggs at a far greater rate than their bodies are capable of coping with at the slaughterhouse there were millions of others who are killed every year for food further on tom regan explains that all duties regarding animals are indirect duties to one another from a philosophical point of view he illustrates it with an analogy regarding children children for example are unable to sign contracts and lack rights but they are protected by the moral contract nonetheless because of the sentimental interests of others so we have then duties involving these children duties regarding them but no duties to them our duties in their case are indirect duties to other human beings usually their parents 2 with this he supports the theory that animals must be protected from suffering as it is moral to protect any living being from suffering not because we have a moral contract with them but mainly due to respect of life and recognition of suffering itself 1 claire suddath a brief history of veganism time 30 october 2008 2 tom regan the case for animal rights 1989,it is imoal to kill animals as evolved huma beings it is our moral duty to inflit as lite pain as possibl for our survival so if we o not need to inflict pain to anmals in orde to suvive we sould nt do it farm animals such as chickens pigs sheep and cows are sntient living beings like us they are our evolutionary cousins ad like us they an fel pleasure and pain the 18th century utilitarian philosopher jem bentham even believed tht nimal suffering as just a serious s human suffering and likened the dea of human superiority to racism it is wong to farm nd kill these animals for food when we do not need to do so the methods of farming and slaughter o these aimals are often barbaric and cruel even on supposedly free range farms 1 ten billion animals wre slaughtered fr human consumption each year stated peta ad unlike the farms long time ago where animals roamed feely today most animals ar factory farmd crammed into cages where they can barely move nd fed a diet adulterated with pesticides and antibiotics these animals pend their enire lives in their prisoner cells so small that thy can t even turn around many suffer serious health problems and even death because they are selectivey red to grow or prduce milk or eggs at a ar greater rate than their boies are capable of cping with t the slaughterhouse ter were millons of others who ae kiled eery year for food further on tom regan explains that all duties regardig nimals are indirect duties to one aother fro a philosophical pint of view he illustrtes it with an analogy regaring children children for example are unable to sign contracts and lack righs but they ae protectd y the morl contract nonetheless because o the sentimental inteests of others so e have then duties involving these cildn dutes regrding them bu no duties to thm our duties in heir case are indirect duties to othe humn eigs usually their parents 2 with this he supports the theory that nimals must be protected from suffring as i is moral to protect any living being from suffering not because w have a moral contract ith them but main due to respect of life ad reognition of suffering itself 1 claire suddath a ref history of veganism tie 30 october 2008 2 tom regan th case for animal rights 198
test-environment-aeghhgwpe-pro03a,vegetarianism is healthier there are significant health benefits to going veggie a vegetarian diet contains high quantities of fibre vitamins and minerals and is low in fat a vegan diet is even better since eggs and dairy products are high in cholesterol the risk of contracting many forms of cancer is increased by eating meat in 1996 the american cancer society recommended that red meat should be excluded from the diet entirely eating meat also increases the risk of heart disease vegetables contain no cholesterol which can build up to cause blocked arteries in meat eaters an american study found out that that men in the highest quintile of red meat consumption those who ate about 5 oz of red meat a day roughly the equivalent of a small steak had a 31 higher risk of death over a 10 year period than men in the lowest consumption quintile who ate less than 1 oz of red meat per day or approximately three slices of corned beef 1 a vegetarian diet reduces the risk for chronic degenerative diseases such as obesity high blood pressure diabetes and types of cancer including colon breast stomach and lung cancer because of it s low fat cholesterol content there are plenty of vegetarian sources of protein such as beans and bean curd and spinach is one of the best sources of iron 1 tiffany sharples the growing case against red meat time 23rd march 2009,vegetarianism is heathier there are signiicant health benefits to going veggie a vegetarian diet contains hih quantities of fibre vitamins an minerals and is low in fat a vegan diet is even bette sic egg and dairy prodcts are hig in cholesterol the risk of contacting many forms of cance is incresed by eating meat in 196 the aerican cancer soiet recommende that red meat should be exluded from the diet entirel eating meat also ncreases the ris of heart diseae vegetables contain no cholesterol which can buld up to cause blocked arteris in meat eaters an amercan study found out that tat men in the highest quinile of rd eat consumption those who ate about 5 z of red meat a day roughly the equivalent of a small stak had a 31 highe risk of deth over a 10 ear priod than men in th lowest onsumptio quintile who ate less than 1 oz of red meat pe day or approximately hree slices o corned beef 1 a vegtarian diet educes the risk for chronc deenerative diseases such s obesity hig blood pressure iabetes and types of cancer including colon breast stomah and lun cancer because of it s low fat chlesterol content there are plenty f vegetarian sources of protein such as beans and bean curd and spinach is one of the bet sources of iron 1 tiffany sharples the growing case against red meat tim 23d march 2009
test-environment-aeghhgwpe-pro04a,being vegetarian reduces risks of food poisoning almost all dangerous types of food poisoning are passed on through meat or eggs so campylobacter bacteria the most common cause of food poisoning in england are usually found in raw meat and poultry unpasteurised milk and untreated water salmonella come from raw meat poultry and dairy products and most cases of escherichia coli e coli food poisoning occur after eating undercooked beef or drinking unpasteurised milk 1 close contact between humans and animals also leads to zoonosis diseases such as bird flu which can be passed on from animals to humans using animal brains in the processed feed for livestock led to bse in cattle and to cjd in humans who ate beef from infected cows 1 causes of food poisoning nhs co uk 23rd june 2009,being vegetarian reduces risks of food poisoning almost all dangerous ypes o food poisning are pased on through meat r eggs so campylobacte baceria the most common cause of food poisoning in england are uually found in raw meat and poultry unateurised milk an untreated wate salmonela come from raw meat poultry and dairy products and ost cases f escerichia coli e coli food poisoning occur after eating undercooed bee or drinking unpasteurised milk 1 clse contact between humns and animals also leads to zoonosis diseases such as bird flu which can be passd on from animals to humans using animal brains in the processed feed for livestock led to bse in cattle d to cjd in humans who ate beef from infected cows 1 causes of food poisonng nhs co uk 23rd june 2009
test-environment-aeghhgwpe-con02a,there are problems with being vegetarian a vegetarian or vegan diet may result in a person not getting enough iron this is because although you can get iron from foods such as pulses green leafy vegetables and nuts the iron in these foods isn t absorbed so easily the symptoms of this feeling breathless after little exercise feeling tired and a short attention span and poor concentration 1 these symptoms could negatively affect proficiency in school and the ability to perform well at work ultimately leading to a loss of productivity which has both personal effects and broader effects for the economy other conditions include frequently becoming ill frequently becoming depressed and malnourishment 1 bupa s health information team iron deficiency anaemia bupa co uk march 2010,here are poblems with ben vegetarian a veetarian or vega diet may result in a person not getting enouh iron this is because although you cn get iron from foods such s pulses green lafy vegetables and nuts te iron in hese fods isn t bsorbe so asily the symptoms of his feeling reathless after ittle exercise eeling tired and a short atention span and poor concentration 1 thee symptoms could ngaively affect proficiency in school and the ability to perform well at work ultimately leadin to a loss of prouctivity which has both personal effects and broade effect for the economy other conditions include frequently beoming ill frequently becoming depressed an malnourishment 1 bupa s health informtion team iron deficiency anaemia bupa co uk march 2010
test-environment-aeghhgwpe-con03a,survival of the fittest it is natural for human beings to farm kill and eat other species in the wild there is a brutal struggle for existence as is shown by darwin s on the origin of the species 1 the fact that we humans have succeeded in that struggle by exploiting our natural environment means that we have a natural right over lower species the concept of survival of the fittest may seem outdated but it is still the defining order of nature in fact farming animals is much less brutal than the pain and hardship that animals inflict on each other naturally in the wild 1 darwin charles on the origin of species by means of natural selection or the preservation of favoured races in the struggle for life literature org,survival of the fittes it is natural for human beings to farm kill and eat other species in the wild there is a brutal struggle for exitence as is shon b darwin s on he orign of the species 1 the fact that we humans have succeeded in that struggle b exploitig our ntural nvronment means that we have a natural right oer lower specie the concept of survival of the fittes may seem outdated ut it is still the efinig order of nature in fact farming animals is much less brutal tha the pain ad hardship that nimls inflict on each other nturally in th wild 1 darwin harles on the orign of species by means of natural seection or the preservation of fvoured races in the strugle for life literature org
test-environment-aeghhgwpe-con01a,humans can choose their own nutrition plan humans are omnivores we are meant to eat both meat and plants like our early ancestors we have sharp canine teeth for tearing animal flesh and digestive systems adapted to eating meat and fish as well as vegetables our stomachs are also adapted to eating both meat and vegetable matter all of this means that eating meat is part of being human only in a few western countries are people self indulgent enough to deny their nature and get upset about a normal human diet we were made to eat both meat and vegetables cutting out half of this diet will inevitably mean we lose that natural balance eating meat is entirely natural like many other species human beings were once hunters in the wild animals kill and are killed often very brutally and with no idea of rights as mankind has progressed over thousands of years we have largely stopped hunting wild animals instead we have found kinder and less wasteful ways of getting the meat in our diets through domestication farm animals today are descended from the animals we once hunted in the wild,humans an choe thr own nutrition plan huans re onivores we are meant to eat both mea and plants like our early ancestors we hav shar canine teth for tearing animal flesh and digestie systems adapted to eating meat and fish as ell a vegetables our stomachs are also adapted to ating both mat and egetable matter all of ths means tat eating meat is part of beig human only in a few western countries re peole self indulgent enugh to deny their natur and get upset about a normal huma diet we were made to eat both meat and vegetables utting out half of this iet will inevitably ean we lose that natural balanc eating meat is entirely natural like many other spcies human beings were once hunters in te wil animals ill ad are killed often very brutaly and wt no idea of rights as mankind has progressed over thousans of years we have largely stped huting wild animals insead we have found kinder and less wastefu ways f gettig the meat in our diets through domestication farm anmls today ae descended from the animals we once hunted in the wid
test-environment-assgbatj-pro02a,animal research causes severe harm to the animals involved the point of animal research is that animals are harmed even if they don t suffer in the experiment almost all are killed afterwards with 115 million animals used a year this is a big problem releasing medical research animals in to the wild would be dangerous for them and they would not be usable as pets 4 the only solution is that they are wild from birth it is obvious that it s not in the interest of animals to be killed or harmed research should be banned in order to prevent the deaths of millions of animals,animal reearch causs severe harm to he animals inolved the point of animal research is tat animals are harmed even if they don t suffer in the experiment almost all re killed afterwards with 115 million animls used a year this is a big problem relesing medical researh animals in to th wild would be dangerous for the and they would not be usable as pets 4 the only solutio is that they are wild from birth it is obvious that it s not in the interst of anima to be kille or hamed research should be banned n order to preet the deaths of illions of animals
test-environment-assgbatj-pro05a,it would send out a consistent message most countries have animal welfare laws to prevent animal cruelty but have laws like the uk s animals scientific procedures act 1986 10 that stop animal testing being a crime this makes means some people can do things to animals but not others if the government are serious about animal abuse why allow anyone to do it,it would send out a consistent message most countries have animal wefare laws to prevent animal cruelt but hve laws like the uk s animals scientific procedures act 1986 10 that stop animal testing being a cri thi makes means some people can do things to animas but not othrs if the gvernment are serious about animal abuse why allow anyone to d t
test-environment-assgbatj-pro01a,animals shouldn t be harmed the difference between us and other animals is a matter of degree rather than type 2 their bodies resemble ours as do their ways of conveying meaning they recoil from pain appear to express fear of a tormentor and appear to take pleasure in activities a point clear to anyone who has observed a pet dog on hearing the word walk we believe other people experience feelings like us because they are like us in appearance and behaviour an animal sharing our anatomical physiological and behavioural characteristics is surely likely to have feelings like us if people have a right to not be harmed we must ask ourselves what makes animals different if animals feel what we feel and suffer like us to condemn one to testing because of them being of a different species is similar to racism or sexism 3,animal shoudn t be hrmed he difference between us and other animals is a matter of degree rather than tye 2 thier bodies esemble ours as do their ways of conveying mening they recoil from pain appear to xpress fear of a tormentor and ppear to take plasue in activities a point clear to anyone wo as observed a pet dog n earing the word walk we believe other people experience feelings like u because hey are like us in appearance and behaviour an animal sharing our anatomical physiologica and behavioural haracteristics is surey likely to hav feelings lke us if people have a rght to not be harmed we must ask ourselves what ms animal different if anmals feel what e feel and suffer like us to condemn ne to testing because of them being of a different specie i similr to raism or sexim 3
