qid,query,modified_query
test-environment-aeghhgwpe-pro02a,being vegetarian helps the environment becoming a vegetarian is an environmentally friendly thing to do modern farming is one of the main sources of pollution in our rivers beef farming is one of the main causes of deforestation and as long as people continue to buy fast food in their billions there will be a financial incentive to continue cutting down trees to make room for cattle because of our desire to eat fish our rivers and seas are being emptied of fish and many species are facing extinction energy resources are used up much more greedily by meat farming than my farming cereals pulses etc eating meat and fish not only causes cruelty to animals it causes serious harm to the environment and to biodiversity for example consider meat production related pollution and deforestation at toronto s 1992 royal agricultural winter fair agriculture canada displayed two contrasting statistics it takes four football fields of land about 1 6 hectares to feed each canadian and one apple tree produces enough fruit to make 320 pies think about it a couple of apple trees and a few rows of wheat on a mere fraction of a hectare could produce enough food for one person 1 the 2006 u n food and agriculture organization fao report concluded that worldwide livestock farming generates 18 of the planet s greenhouse gas emissions by comparison all the world s cars trains planes and boats account for a combined 13 of greenhouse gas emissions 2 as a result of the above point producing meat damages the environment the demand for meat drives deforestation daniel cesar avelino of brazil s federal public prosecution office says we know that the single biggest driver of deforestation in the amazon is cattle this clearing of tropical rainforests such as the amazon for agriculture is estimated to produce 17 of the world s greenhouse gas emissions 3 not only this but the production of meat takes a lot more energy than it ultimately gives us chicken meat production consumes energy in a 4 1 ratio to protein output beef cattle production requires an energy input to protein output ratio of 54 1 the same is true with water use due to the same phenomenon of meat being inefficient to produce in terms of the amount of grain needed to produce the same weight of meat production requires a lot of water water is another scarce resource that we will soon not have enough of in various areas of the globe grain fed beef production takes 100 000 liters of water for every kilogram of food raising broiler chickens takes 3 500 liters of water to make a kilogram of meat in comparison soybean production uses 2 000 liters for kilogram of food produced rice 1 912 wheat 900 and potatoes 500 liters 4 this is while there are areas of the globe that have severe water shortages with farming using up to 70 times more water than is used for domestic purposes cooking and washing a third of the population of the world is already suffering from a shortage of water 5 groundwater levels are falling all over the world and rivers are beginning to dry up already some of the biggest rivers such as china s yellow river do not reach the sea 6 with a rising population becoming vegetarian is the only responsible way to eat 1 stephen leckie how meat centred eating patterns affect food security and the environment international development research center 2 bryan walsh meat making global warming worse time magazine 10 september 2008 3 david adam supermarket suppliers helping to destroy amazon rainforest the guardian 21st june 2009 4 roger segelken u s could feed 800 million people with grain that livestock eat cornell science news 7th august 1997 5 fiona harvey water scarcity affects one in three ft com 21st august 2003 6 rupert wingfield hayes yellow river drying up bbc news 29th july 2004,being vegtarin elps the enviroment becomng a egetaria is an environmentall friey thing t do modrn arming is one of the an sources of polluton i our rivrs beef farmin is one of the min causes of dforstatin and as long as pople continu to buy fast d in thei bilions there will be a fnancial icntive to continue cutting dwn trees to make room for cattle because of our dsre to eat ish or rivers and seas re being emptied of fis and many species are facng extinction enegy resuces are usd p muc more geedly by meat farming than my farming cereals pulses etc eating meat and fish not only causes cruelty o animals it auses serious harm to the enviroment and to biodivsity for exmpe conider mea productin reated ollution ad deforetation at tornto s 1992 oyal agriultural inter air agricuture cand displayed two contrastng satstics it tae four fotball fields of land but 1 6 hectares to feed ec canadia ad one appe tree produce enough fuit to make 320 pies think about t a couple of appl res and a ew rows of wheat on a mre faction of a hectare ould produc enou food or one person 1 the 206 u n food and aricultr rgnization fo repor concluded that worldwide lvestock farming geerate 18 of the plane s greenhouse gas emssions by comparisn ll the world s cars trans planes and bats accon fo a combine 1 of greeouse gas eissions 2 s a elt of the above pont prducing meat damages the evironment the demnd for at drives deforestatin daniel cesar avelino of bail s federal public prosecutin ofice says w know that the single igges rier of deforestaion in the amazon is ate this clerig of tropial rainforsts such as the amazon for agriculure is estmed to produc 7 of the world s greenhouse g emissions 3 not only ths bt te production of meat takes a lot more energy than it ultmately gives us cicke meat production onsumes energy in a 4 1 ratio t proten utpt beef catle prduction requires an energy input to protein output ratio f 54 1 the sme is true ith water use due to the same pheomeon of meat being inefficient to produce in trms of the amount of grain needed to pouce he same weight of met poducion rquires a lo of water water is another scarce resorce that we will soon nt hae eugh of in vrious areas of he globe grin fed beef producto tak 100 000 lter of ater for every kioram of food raisin boiler chickens takes 3 50 litrs f water to mae a ilogra of meat in comprson soybean podutio uses 2 000 liters for kilogra o food roduced rice 1 92 wheat 900 and potatoes 500 liters 4 this is while here are areas of the globe that hav svere water shortages wih farmin using up to 70 times more water tha i used for domestic pupoes cookng and washing a third of the population of the world is already sfeing rom a shortage of wte 5 goundwater levels ae fallin all ovr the wrld and river are beginning to dr up lready some f the bigest rvers such s china s yellow rier do not reac the ea 6 wih a risg poulation becoming vgetaria is th only resposible way to eat 1 phen lecki how meat centred eating patterns affect food scurity nd te enviroment internatinal developmnt rsearch center 2 byn walsh mea making global warming wose tie magazine 1 september 08 3 avid dam upermarket suppliers helping to desroy mazon rainforest the gurdin 21st june 2009 4 roger segeken u s could feed 800 illion people wih ran tha livestock eat cornell scene news 7h august 199 5 fion harey ate scarcity afcs one in thr ft com 21st august 003 6 rupert wingfield hayes yellow river dryng p bbc news 29th july 2004
test-environment-aeghhgwpe-pro01a,it is immoral to kill animals as evolved human beings it is our moral duty to inflict as little pain as possible for our survival so if we do not need to inflict pain to animals in order to survive we should not do it farm animals such as chickens pigs sheep and cows are sentient living beings like us they are our evolutionary cousins and like us they can feel pleasure and pain the 18th century utilitarian philosopher jeremy bentham even believed that animal suffering was just as serious as human suffering and likened the idea of human superiority to racism it is wrong to farm and kill these animals for food when we do not need to do so the methods of farming and slaughter of these animals are often barbaric and cruel even on supposedly free range farms 1 ten billion animals were slaughtered for human consumption each year stated peta and unlike the farms long time ago where animals roamed freely today most animals are factory farmed crammed into cages where they can barely move and fed a diet adulterated with pesticides and antibiotics these animals spend their entire lives in their prisoner cells so small that they can t even turn around many suffer serious health problems and even death because they are selectively bred to grow or produce milk or eggs at a far greater rate than their bodies are capable of coping with at the slaughterhouse there were millions of others who are killed every year for food further on tom regan explains that all duties regarding animals are indirect duties to one another from a philosophical point of view he illustrates it with an analogy regarding children children for example are unable to sign contracts and lack rights but they are protected by the moral contract nonetheless because of the sentimental interests of others so we have then duties involving these children duties regarding them but no duties to them our duties in their case are indirect duties to other human beings usually their parents 2 with this he supports the theory that animals must be protected from suffering as it is moral to protect any living being from suffering not because we have a moral contract with them but mainly due to respect of life and recognition of suffering itself 1 claire suddath a brief history of veganism time 30 october 2008 2 tom regan the case for animal rights 1989,it is immoral to kill anial as evolve human beis it is our moral duty to inflict as little pain as possible fo our survival so if w do not ned t inflict pain t animals in orde to survive we should not d it farm anima sh as chickes pgs shep an cows are stent living beings lke us they are our evolutionay ousins and like us tey can el pleasure and pan th 18h century tilitarian philosopher jeremy bentham even beieved tht animal suffein was ju as serious as hma suffeig ad liened the ide f uman speriority o raism t is wong to farm ad kill hese nimals for food whn we do not need to do so the mthods of farmng nd slaughter of these animals are often barbarc and cruel even on supposly free range farms 1 ten llion animals were slaugtered for uman consumption eah year stated peta and unlike the farms ln tme ago whe animal roamed feely tday most animal are factory frmed crmmed int cages wer thy ca arely move and fed a diet adulterted it pstcides and antibiotcs these anmls spend their entire ves i thier prisoner cells so sal tha they can t ven turn around man suffr serious health probems nd ven death bcuse e are selectively bred to grow or produce milk or egs at a far rate rate than thir bodies are capale of coping with at the slaughterhouse their were milions of others who are killed every yer for food futhr on to regan eplan that ll dutes regarding animals are idiret duties t one anoter from a philosophical point o ve he llustates it with n analogy reardng children children for eample are unale to sign ontracts and ac rihts but the are protectd by the oral contrct nonetheles because of th sentimetal interests o ohers so we have en ties involving these chldre duties regading th ut no dutis to the our dues in hir case are indirect dutes to other han beings usuay thier paents 2 with this he upprt the theory that animals must be potected from suffering as it is moral to protect any living bein fro suffering ot beaus we have a moral contract with the but mainly d to respect o life and reconio of suffering itsel 1 clae ddath a bef hitory of veganism time 30 october 2008 2 tom rgan the cae for animal rights 1989
test-environment-aeghhgwpe-pro03a,vegetarianism is healthier there are significant health benefits to going veggie a vegetarian diet contains high quantities of fibre vitamins and minerals and is low in fat a vegan diet is even better since eggs and dairy products are high in cholesterol the risk of contracting many forms of cancer is increased by eating meat in 1996 the american cancer society recommended that red meat should be excluded from the diet entirely eating meat also increases the risk of heart disease vegetables contain no cholesterol which can build up to cause blocked arteries in meat eaters an american study found out that that men in the highest quintile of red meat consumption those who ate about 5 oz of red meat a day roughly the equivalent of a small steak had a 31 higher risk of death over a 10 year period than men in the lowest consumption quintile who ate less than 1 oz of red meat per day or approximately three slices of corned beef 1 a vegetarian diet reduces the risk for chronic degenerative diseases such as obesity high blood pressure diabetes and types of cancer including colon breast stomach and lung cancer because of it s low fat cholesterol content there are plenty of vegetarian sources of protein such as beans and bean curd and spinach is one of the best sources of iron 1 tiffany sharples the growing case against red meat time 23rd march 2009,vegetarianism is healthier their ae signifcant halth enefits to gong veggie a vegetaian det ontais igh uantte of fibre viamns and inerals and is lo in ft a vegan diet is even better sine egg and daiy producs are high in cholester the risk of contracting any forms o cancer is incresed by eatin meat in 1996 the america cancer society rcmmende that red meat should be excluded f the iet ntirel eating meat also increase the risk of heart disease vegetble contain n cholestero which can buil up to cause blocked ateries i meat eaers an american stud found out that that men in the higest quintile of ed meat consumptin hse who at abou 5 oz o red me a day roughy the equivalent of a small steak had a 3 higher rik o dath over a 10 year period tha men in the lowes consumption quitile wh te less than 1 oz o rd meat per day or approximately thre slics of corned beef 1 a vgtrian ie redues the isk for chronic degenerativ diseas such as obsity high blood pressure diabetes an types o cancer includin colon reast stoach and lung cacer because of it s low fat chlsterol contet thee ar plety of vegetarian soure of protein such s beans and ben curd and spinach is one of the best sources f iron 1 tiffany harples the growing ca ais red met time 3r mach 2009
test-environment-aeghhgwpe-pro04a,being vegetarian reduces risks of food poisoning almost all dangerous types of food poisoning are passed on through meat or eggs so campylobacter bacteria the most common cause of food poisoning in england are usually found in raw meat and poultry unpasteurised milk and untreated water salmonella come from raw meat poultry and dairy products and most cases of escherichia coli e coli food poisoning occur after eating undercooked beef or drinking unpasteurised milk 1 close contact between humans and animals also leads to zoonosis diseases such as bird flu which can be passed on from animals to humans using animal brains in the processed feed for livestock led to bse in cattle and to cjd in humans who ate beef from infected cows 1 causes of food poisoning nhs co uk 23rd june 2009,being vetarian reduces risks of food psoning amos all dngerous types of food oisonig ar passed on though mat or ggs so amplbacter acteria te most common cause of food poisning in england are usuall found in ra eat d poutry unpsteurse milk and unreated waer samonella com om ra meat poulry and dry prduc nd most cases o escherichia coi e coli food isoning occur after ating ndrcood bef or drinking unpasterised milk 1 lose contact between humns and nials alo leads to zoonosi diseases uh a bird flu which can be pased on from animals o humans using ana rains in te processed fee fr livestock le to be in cale and to cjd in humans who ate beef from nfected cow 1 causs of ood poisonn nhs co uk 23rd june 2009
test-environment-aeghhgwpe-con02a,there are problems with being vegetarian a vegetarian or vegan diet may result in a person not getting enough iron this is because although you can get iron from foods such as pulses green leafy vegetables and nuts the iron in these foods isn t absorbed so easily the symptoms of this feeling breathless after little exercise feeling tired and a short attention span and poor concentration 1 these symptoms could negatively affect proficiency in school and the ability to perform well at work ultimately leading to a loss of productivity which has both personal effects and broader effects for the economy other conditions include frequently becoming ill frequently becoming depressed and malnourishment 1 bupa s health information team iron deficiency anaemia bupa co uk march 2010,there ae problems wih ben vgetarian a vegearian or vean diet may result i a person nt gting enough iro this is becuse although you cn get iron from oods such as plses green leafy vegeables and nuts e ion in these foods isn t absorbed s easily he symtms f this feeling breahless ater little exrcise feeling tired an a shrt attention span and oor concentration 1 these symptos could negatively affct proficiency in sol nd the abiliy to pefr wll at work ultimately leading to a loss of producivity whih has bh pesnal effects and broder effecs or te econmy other conditions inlud frequently becom ill frequetly becoming depressed and manurishmen 1 bupa s halth inormation team iron deficincy aaemi bupa co uk march 2010
test-environment-aeghhgwpe-con03a,survival of the fittest it is natural for human beings to farm kill and eat other species in the wild there is a brutal struggle for existence as is shown by darwin s on the origin of the species 1 the fact that we humans have succeeded in that struggle by exploiting our natural environment means that we have a natural right over lower species the concept of survival of the fittest may seem outdated but it is still the defining order of nature in fact farming animals is much less brutal than the pain and hardship that animals inflict on each other naturally in the wild 1 darwin charles on the origin of species by means of natural selection or the preservation of favoured races in the struggle for life literature org,srvival of the fttest it is atura fo human beings to arm kil an ea other secies in h il there is a rutal struggle for exstce as is shwn by darwin s on the oigin of the species 1 the fat that we huans have succeeded in tat struggle by exploiting our natural evironment ean tha w hav a naural iht over loer spcies th concept of suvival of the fittest may seem outdted bu it is still e defining rder of nature in fact arming animals i mch less brutal than the pain and hardship tht animals inflic n each ther natrall in the wild 1 arwin charles on the oriin of species by mans f atura election or the preservation of faore raes in the strugge for life literature org
test-environment-aeghhgwpe-con01a,humans can choose their own nutrition plan humans are omnivores we are meant to eat both meat and plants like our early ancestors we have sharp canine teeth for tearing animal flesh and digestive systems adapted to eating meat and fish as well as vegetables our stomachs are also adapted to eating both meat and vegetable matter all of this means that eating meat is part of being human only in a few western countries are people self indulgent enough to deny their nature and get upset about a normal human diet we were made to eat both meat and vegetables cutting out half of this diet will inevitably mean we lose that natural balance eating meat is entirely natural like many other species human beings were once hunters in the wild animals kill and are killed often very brutally and with no idea of rights as mankind has progressed over thousands of years we have largely stopped hunting wild animals instead we have found kinder and less wasteful ways of getting the meat in our diets through domestication farm animals today are descended from the animals we once hunted in the wild,humas can choose their ow utrition lan umans are omivors we are meant to eat bth met and plants ike our early ncesor we have shap canine teeth for tearing anmal flesh nd diesive systs adaped o eating ea and fish as well s vgetables our stomachs re also aapted to eating both meat and vegetabl matter all f this means that etin met i part o bein hman only in a few western countes are peop self dulgent enough to deny their naure and gt pset about a normal human dit we wer made to eat both meat and vegetables cutting ou half of hs dit will ievitably mean we lose that natral balance ating meat is entrely atural lik many other species human beigs were once untr in the wild animals kill and are killed often very brutally ad wit no idea of igts as makind has progress oe thouans f years we hve lrgely stopped huntig wild animals isted we have found kinder and lss wasteful ways of gen the meat in our diets thrugh domestication farm aials today are descended from he anials w once hunt in he wild
test-environment-assgbatj-pro02a,animal research causes severe harm to the animals involved the point of animal research is that animals are harmed even if they don t suffer in the experiment almost all are killed afterwards with 115 million animals used a year this is a big problem releasing medical research animals in to the wild would be dangerous for them and they would not be usable as pets 4 the only solution is that they are wild from birth it is obvious that it s not in the interest of animals to be killed or harmed research should be banned in order to prevent the deaths of millions of animals,animal eserch caues severe harm to the animals involve the point of animal earch is that animals are armed even if they don t sufer i the experient alost all r killed aftrards with 115 million animals us a ya his is a big problem releasing mdcal research animls in o the wild would be dangerous fo them nd tey would not be usab s pets 4 the nly solutio i that they are ild from birh it is obvious hat it s not in the interest of animals t e killed or hamd research shoul be banned in order o peven te ets of mllions of animas
test-environment-assgbatj-pro05a,it would send out a consistent message most countries have animal welfare laws to prevent animal cruelty but have laws like the uk s animals scientific procedures act 1986 10 that stop animal testing being a crime this makes means some people can do things to animals but not others if the government are serious about animal abuse why allow anyone to do it,it would sn out a cnsise messag most countries have animal elare laws to prevent nmal cruelty ut have laws like the uk s anmals cieniic proceure act 1986 10 tht sop animal tsting beng a crime this mkes mens some people can o things to animls bt not others if te goernment are serous about animal abuse wy alo anyone to do it
test-environment-assgbatj-pro01a,animals shouldn t be harmed the difference between us and other animals is a matter of degree rather than type 2 their bodies resemble ours as do their ways of conveying meaning they recoil from pain appear to express fear of a tormentor and appear to take pleasure in activities a point clear to anyone who has observed a pet dog on hearing the word walk we believe other people experience feelings like us because they are like us in appearance and behaviour an animal sharing our anatomical physiological and behavioural characteristics is surely likely to have feelings like us if people have a right to not be harmed we must ask ourselves what makes animals different if animals feel what we feel and suffer like us to condemn one to testing because of them being of a different species is similar to racism or sexism 3,anials shod t be hamed he differenc between s and othe animals i a matter of deree rather than tpe 2 thir bodies esemble ours as do their ways of conveying meaning hey recol from pain apper to eress er of a tormtor an appear to take pleasur in activities a point clear to anyone ho hs obsvd a pet dog on hearing the word walk w believ othe ole experiece felings lie us ecuse they are like us in appearance and behaviour an animal sharing or anatoical physiologia and bhavioural chaacteistis is surely likel to ve feeligs like us if peopl have a right to not be harmed we must s ourselves what makes animals different if animals feel what we feel and suffer li us to conemn one to testing because of them being o a diffrent species is similar to raci or sexism 3
